# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Fullständig ändringslogg
objective_HelpEnvironmentallyFriendly	Miljövänlig
material_SellFlooring	Sälj golvmaterial
buildtoolbar_popup_uts_quickconnect	Ansluter snabbt alla typer av bevaknings- eller automatiseringssystem till deras närmaste mottagningsföremål.
object_OxStatue	Oxstaty
object_PaperDragonHead	Drake (huvud)
object_PaperDragonBody	Drake (kropp)
object_PaperDragonTail	Drake (svans)
object_PaperLantern	Papperslykta
object_CoupletBanner	Versbanderoll
buildtoolbar_popup_obj_OxStatue	En zodiakstaty som representerar den mäktiga oxen
buildtoolbar_popup_obj_PaperDragonHead	Pappersklipp i form av ett drakhuvud
buildtoolbar_popup_obj_PaperDragonBody	Pappersklipp i form av en drakes kropp
buildtoolbar_popup_obj_PaperDragonTail	Pappersklipp i form av en drakes svans
buildtoolbar_popup_obj_PaperLantern	En dekorativ röd papperslykta som ger ljus till ditt fängelse
buildtoolbar_popup_obj_CoupletBanner	En dekorativ banderoll med kinesiska verser skrivna på den
object_PinkFlamingo	Rosa flamingo
object_HayBale	Höbal
object_FlowerPlanterWateringCan	Blombehållare (vattningskanna)
object_FlowerPlanterWellies	Blombehållare (stövlar)
object_FlowerPlanterWheelbarrow	Blombehållare (skottkärra)
object_SmallServingTable	Serveringsbord (litet)
object_TrayDispenser	Brickhylla
object_SolarWallLight	Vägglampa (solcell)
buildtoolbar_popup_obj_HayBale	Ingenting är mer lantligt än en stor höbal.
buildtoolbar_popup_obj_FlowerPlanterWateringCan	En enkel begagnad kanna som nu används som blomkruka.
buildtoolbar_popup_obj_FlowerPlanterWellies	Ett par begagnade regnstövlar som nu används som blomkruka.
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	Ett färgglatt tillskott i trädgården.
buildtoolbar_popup_obj_SmallServingTable	Kan användas för att servera mat till internerna.
buildtoolbar_popup_obj_TrayDispenser	Kan användas för att förvara matbrickor. Rymmer högst 200 st.
buildtoolbar_popup_obj_SolarWallLight	En lampa som drivs av solenergi, som kan hängas på väggar och tänds automatiskt nattetid.
object_FoodTrayPack	Matbrickspaket
buildtoolbar_popup_obj_FoodTrayPack	Ett paket om 40 matbrickor – Dubbelklicka/Håll för att köpa insmugglade råvaror
d11_staffalert_summary_BasicFarming03	Till skillnad från andra grödor får fruktträden ny frukt kontinuerligt och behöver därför inte ersättas efter varje skörd.
#=========================
#	Staff Alerts
#=========================

d11_staffalert_details_CELLS01	Vi har plats för *A fångar till.
d11_staffalert_details_CELLS01a	Vi har plats för *A lågsäkerhetsinterner till.
d11_staffalert_details_CELLS01b	Vi har plats för *A medelsäkerhetsinterner till.
d11_staffalert_details_CELLS01c	Vi har plats för *A högsäkerhetsinterner till.
d11_staffalert_details_CELLS01d	Vi har plats för *A supermaxsäkerhetsinterner till.
d11_staffalert_details_CELLS01e	Vi har plats för *A dödsdömda interner till.
d11_staffalert_details_CELLS01f	Vi har plats för *A interner i skyddshäkte till.
d11_staffalert_details_CELLS01Z	Vi har *A lediga *Bsceller.
d11_staffalert_details_CONTRABAND01a	Tillgången till vapen är på *A
d11_staffalert_details_CONTRABAND01b	Tillgången till verktyg är på *A
d11_staffalert_details_CONTRABAND02	Tillgången till droger är på *A
d11_staffalert_details_CONTRABAND03	*A smuggelvaror har hittats under de senaste sju dagarna.
d11_staffalert_details_DEATHROW01	Genom att lägga till en dödscell i fängelset kan du ta emot värdefulla dödsdömda interner.
d11_staffalert_details_DOCTOR01	Vi har inga doktorer anställda just nu.
d11_staffalert_details_HOLDINGCELL01	*A interner har ingen egen cell för tillfället.
d11_staffalert_details_INFORMANTS01	Internerna har starka misstankar om att *A är en uppgiftslämnare.
d11_staffalert_details_MONEY01	Fängelset har bara *A kvar på banken.
d11_staffalert_details_NEEDS01	*A interner behöver verkligen gå på toaletten.
d11_staffalert_details_NEEDS02	*A interner behöver verkligen gå på toaletten.
d11_staffalert_details_NEEDS03	*A interner behöver verkligen sova.
d11_staffalert_details_NEEDS04a	*A interner är väldigt hungriga.
d11_staffalert_details_NEEDS04b	Bygg fler kök.
d11_staffalert_details_NEEDS04c	Anställ fler kockar.
d11_staffalert_details_NEEDS04d	Lägg till fler måltidsplatser i din regim.
d11_staffalert_details_NEEDS05	*A interner vill verkligen kontakta sina familjer.
d11_staffalert_details_NEEDS06a	Anställ fler vaktmästare.
d11_staffalert_details_NEEDS06b	Bygg fler städskrubbar.
d11_staffalert_details_NEEDS06c	Sätt internerna i arbete från städskrubbarna.
d11_staffalert_details_NEEDS07	*A interner fruktar för sina liv.
d11_staffalert_details_NEEDS08	*A interner måste förbättra sin hygien.
d11_staffalert_details_NEEDS09	*A interner måste komma i bättre form.
d11_staffalert_details_NEEDS10	*A interner behöver fritidssysslor för att hålla sig lugna.
d11_staffalert_details_NEEDS11	*A interner klarar på att det finns för få sittplatser när de har fritid.
d11_staffalert_details_NEEDS12	*A interner vill ha ett ställe där de kan vara för sig själva.
d11_staffalert_details_NEEDS13	*A interner vill ha mer fritid.
d11_staffalert_details_NEEDS14a	*A interner behöver rena kläder.
d11_staffalert_details_NEEDS14b	Bygg en tvättstuga.
d11_staffalert_details_NEEDS14c	Bygg en tvättmaskin.
d11_staffalert_details_NEEDS14d	Bygg en tvättkorg.
d11_staffalert_details_NEEDS15	*A interner är drogberoende.
d11_staffalert_details_NEEDS16	*A interner är alkoholister.
d11_staffalert_details_NEEDS18	*A interner vill ha andlig vägledning.
d11_staffalert_details_NEEDS19	*A interner kan inte läsa eller skriva.
d11_staffalert_details_OBJECTS01	Fängelset har inget sprinklersystem installerat.
d11_staffalert_details_OBJECTS02	Fler soptunnor behövs.
d11_staffalert_details_OBJECTS03	Fler övervakningskameror behövs.
d11_staffalert_details_OBJECTS04	Ett dörrkontrollsystem och dörrservomotorer behövs.
d11_staffalert_details_POWER01	Anslut alla föremål med blinkande blixtikoner till en generator.
d11_staffalert_details_POWER02	Effekten på en av generatorerna i fängelset är på *A.
d11_staffalert_details_PRISONERS02	Du har följande kvot mellan interner och vakter: *A:*B
d11_staffalert_details_PRISONERS03	*A interner bor för närvarande i sämre celler är de har rätt till.
d11_staffalert_details_ROOMS01	Se till att rum med blinkande röda utropstecken uppfyller alla krav som listas.
d11_staffalert_details_STAFF01	*A medlemmar ur personalen är för närvarande utbrända.
d11_staffalert_details_WATER01	Anslut alla föremål med blinkande vattendroppar till vattenpumpen.
d11_staffalert_hint_CELLS01	Genom att ta in fler interner får vi en fin engångsbonus, och vi får ävem mer pengar från delstaten varje dag. Vi bör alltid fylla fängelset till maxkapacitet om vi har möjlighet!
d11_staffalert_hint_CONTRABAND01	Internerna kan enkelt få tillgång till verktyg och vapen, vilket är mycket farligt. Placera ut metalldetektorer vid platser där det finns smuggelgods, eller beordra en genomsökning av hela fängelset.
d11_staffalert_hint_CONTRABAND02	Internerna kan enkelt få tillgång till narkotika, vilket är mycket farligt. Anställ hundförare som kan patrullera längs cellblocken, eller beordra en genomsökning av hela fängelset.
d11_staffalert_hint_CONTRABAND03	Läs igenom smuggelgodsrapporten som jag lämnade in för att se var smuggelgods har påträffats under de senaste sju dagarna, och vidta åtgärder för att spärra av dem.
d11_staffalert_hint_DEATHROW01	Det är riskabelt att lägga till en dödscell i fängelset, eftersom avrättningarna måste skötas med stor omsorg så att vi uppfyller alla laga krav ... Vi kan dock tjäna mycket pengar på det, så det kan vara värt risken!
d11_staffalert_hint_DOCTOR01	Vi kan inte sköta några behandlingar i sjukstugan förrän vi anställer några doktorer. Doktorerna kan använda sjukstugan för att behandla personal eller interner som skadat sig.
d11_staffalert_hint_HOLDINGCELL01	Det är för riskabelt att lämna så här många interner i häktescellerna under en längre tid. Du måste bygga fler celler åt dem så snart som möjligt, annars kommer de att starta ett upplopp!
d11_staffalert_hint_INFORMANTS01	Vår uppgiftslämnare kommer inte att bli långvarig utan vårt skydd. Jag föreslår att vi ändrar säkerhetsnivån till "Skyddshäkte" och flyttar uppgiftslämnaren bort från de andra internerna.
d11_staffalert_hint_MONEY01	Fängelset börjar få slut på pengar. Får jag föreslå att vi tar in fler interner så att vi kan öka vår dagliga inkomst, alternativt att vi ser till att uppfylla villkoren för ett nytt bidrag som kan ge ett avsevärt tillskott i kassan?
d11_staffalert_hint_NEEDS01	Internerna behöver tillgång till toaletter. Överväg att lägga till fler i fängelset eller ge internerna mer fritid.
d11_staffalert_hint_NEEDS02	Internerna behöver tillgång till toaletter. Överväg att lägga till fler i fängelset eller ge internerna mer fritid.
d11_staffalert_hint_NEEDS03	Internerna behöver sömn för att hålla sig glada. De sover antingen under bestämda sovperioder eller under sin fritid.
d11_staffalert_hint_NEEDS04	Internerna blir hungriga med tiden. Se till att det finns tillräckligt med plats i matsalen och att du har avsatt tillräckligt lång tid för måltiderna så att alla kan äta sig mätta.
d11_staffalert_hint_NEEDS05	Internerna kan bli på dåligt humör om de inte får prata med sina familjer. Bygg ett besöksrum, ett postrum eller telefonkiosker så att de inte blir deprimerade.
d11_staffalert_hint_NEEDS06	Fängelset är väldigt skitigt och det gör internerna på mycket dåligt humör. Kom på ett sätt att städa upp så fort som möjligt innan de ilsknar till rejält.
d11_staffalert_hint_NEEDS07	Om risknivån i fängelset är för hög så kommer många interner att börja känna sig rädda och osäkra. Sänk risknivån genom att tillgodose internernas andra behov.
d11_staffalert_hint_NEEDS08	Hygien är alltid viktig, och i fängelset är den ovärderlig. Se till att internerna har tid att ta en lång dusch.
d11_staffalert_hint_NEEDS09	Träning håller internernas form, hälsa och humör på topp. Se till att de har enkel tillgång till tyngdlyftarbänkar.
d11_staffalert_hint_NEEDS10	Hjälp internerna att lätta vardagsmonotonin genom att ge dem tillgång till underhållning som biljardbord, radioapparater och tv-apparater.
d11_staffalert_hint_NEEDS11	Vila är alltid viktigt, men det kan vara svårt att få vila upp sig när man sitter i fängelse. Om du ger internerna tillgång till bänkar och soffor så hjälper det dem att slappna av.
d11_staffalert_hint_NEEDS12	Ibland behöver internerna lite egentid, men ursäkten "det är inte du, det är jag" fungerar inte nödvändigtvis klockrent i fängelset. Se till att internerna har tillgång till en egen cell.
d11_staffalert_hint_NEEDS13	Alla interner vill en enda sak: att inte sitta i fängelse. Även om vi inte kan hjälpa dem med just det så kan vi göra deras vistelse mer uthärdlig genom att ge dem mycket fritid.
d11_staffalert_hint_NEEDS14	Alla interner vill en enda sak: att inte sitta i fängelse. Även om vi inte kan hjälpa dem med just det så kan vi göra deras vistelse mer uthärdlig genom att ge dem mycket fritid.
d11_staffalert_hint_NEEDS15	En del interner är drogberoende när de hamnar i fängelse. Om de inte lyckas komma över sitt beroende så blir de på dåligt humör och kan även börja hålla på med smuggelgods för att få tag på drogerna. Använd reformprogram för att hjälpa dem.
d11_staffalert_hint_NEEDS16	En del interner är alkoholberoende när de hamnar i fängelse. Om de inte lyckas komma över sitt beroende så blir de på dåligt humör och kan även börja hålla på med smuggelgods för att få tag på drogerna. Använd reformprogram för att hjälpa dem.
d11_staffalert_hint_NEEDS18	Program som erbjuder andlig vägledning lugnar internerna, och detta lugn sprider sig sedan till de andra internerna.
d11_staffalert_hint_NEEDS19	Läsare får uppleva tusen levnadsöden innan de dör; människor som inte läser lever bara en gång. Låt internerna fly in i en god bok genom att ge dem tillgång till ett bibliotek.
d11_staffalert_hint_OBJECTS01	För närvarande har vi inte alls resurserna som krävs för att hantera en eldsvåda i fängelset. Vi borde installera ett sprinklersystem så fort som möjligt.
d11_staffalert_hint_OBJECTS02	Soptunnor rymmer massvis med skräp innan de måste tömmas, vilket innebär färre besök till soprummet. Lägg till soptunnor i köket och placera dem i närheten av metalldetektorer för att öka effektiviteten.
d11_staffalert_hint_OBJECTS03	Övervakningskamerorna gör att vi kan hålla koll på områden i fängelset där vi inte har några vakter utplacerade. En enda övervakningsmonitor gör att en vakt kan hålla koll på åtta olika övervakningskameror. Ett självklart val!
d11_staffalert_hint_OBJECTS04	Vakterna tillbringar just nu den största delen av sin tid med att öppna fängelsedörrar åt folk. Vilket slöseri med tid! Installera ett dörrkontrollsystem så att en vakt kan öppna flera dörrar på håll.
d11_staffalert_hint_POWER01	En del föremål måste anslutas till en generator för att fungera. Använd elkablar för att ansluta alla föremål med blinkande blixtikoner till en generator.
d11_staffalert_hint_POWER02	Vår generator är allvarligt överbelastad. Lägg till fler kondensatorer i den eller bygg en ny som kan lätta trycket på den. Tänk dock på att du inte kan koppla ihop generatorer med varandra!
d11_staffalert_hint_PRISONERS02	Det är inte säkert för vakterna att vara så underlägsna i antal jämfört med internerna. Varje vakt kan sköta om runt fem interner på ett säkert sätt.
d11_staffalert_hint_PRISONERS03	Alla interner har rätt till en cell av en viss kvalitet, baserat på deras uppförande. Du kan förbättra cellkvaliteten via logistikskärmen.
d11_staffalert_hint_ROOMS01	Alla rum har vissa krav som du måste uppfylla. Markera rummen med blinkande röda utropstecken för att kontroller vilka krav du inte uppfyller.
d11_staffalert_hint_STAFF01	Din personal kan inte jobba effektivt om de är utbrända. Bygg ett personalrum åt dem så att de kan slappna av, eller anställ mer personal för att lätta trycket på dem.
d11_staffalert_hint_WATER01	En del föremål måste anslutas till en vattenpump för att fungera. Använd vattenledningar för att ansluta alla föremål med blinkande vattendroppar till en vattenpump.
d11_staffalert_summary_CELLS01	Vi har plats för fler interner.
d11_staffalert_summary_CONTRABAND01	För många interner har tillgång till verktyg och vapen.
d11_staffalert_summary_CONTRABAND02	För många interner har tillgång till narkotika.
d11_staffalert_summary_CONTRABAND03	Det finns mängder av smuggelgods i fängelset.
d11_staffalert_summary_DEATHROW01	Vi skulle kunna tjäna mer pengar om vi byggde en dödscell i fängelset.
d11_staffalert_summary_DOCTOR01	Vi borde anställa doktorer som kan arbeta i sjukstugan.
d11_staffalert_summary_HOLDINGCELL01	Vi har för många interner i häktescellerna.
d11_staffalert_summary_INFORMANTS01	Internerna är väldigt misstänksamma mot en av våra uppgiftslämnare.
d11_staffalert_summary_MONEY01	Vi börjar få dåligt med pengar.
d11_staffalert_summary_NEEDS01	Vi borde bygga några fler toaletter.
d11_staffalert_summary_NEEDS02	Vi borde bygga några fler toaletter.
d11_staffalert_summary_NEEDS03	Internerna ser ständigt trötta ut.
d11_staffalert_summary_NEEDS04	Internerna är hungriga.
d11_staffalert_summary_NEEDS05	Internerna saknar sina familjer.
d11_staffalert_summary_NEEDS06	Fängelset behöver städas.
d11_staffalert_summary_NEEDS07	Internerna känner sig inte säkra.
d11_staffalert_summary_NEEDS08	Internerna ser lite ovårdade ut.
d11_staffalert_summary_NEEDS09	Internerna är i dålig form.
d11_staffalert_summary_NEEDS10	Internerna känner sig lite uttråkade.
d11_staffalert_summary_NEEDS11	Internerna klagar på att det finns för få sittplatser under sin fritid.
d11_staffalert_summary_NEEDS12	Internerna vill ha lite privatliv.
d11_staffalert_summary_NEEDS13	Internerna vill ha mer fritid.
d11_staffalert_summary_NEEDS14	Hm, internernas kläder ser lite sjabbiga ut.
d11_staffalert_summary_NEEDS15	Kära nån, det verkar som att flera interner har drogproblem.
d11_staffalert_summary_NEEDS16	Det verkar som att många av internerna är förtjusta i att ta till flaskan.
d11_staffalert_summary_NEEDS18	Många interner söker andlig vägledning.
d11_staffalert_summary_NEEDS19	För många interner kan inte läsa eller skriva.
d11_staffalert_summary_OBJECTS01	Vi är i riskzonen om en brand bryter ut.
d11_staffalert_summary_OBJECTS02	Vi måste köpa några soptunnor.
d11_staffalert_summary_OBJECTS03	Vi måste installera övervakningskameror.
d11_staffalert_summary_OBJECTS04	Vi borde förbättra effektiviteten genom att installera ett dörrkontrollsystem.
d11_staffalert_summary_POWER01	Vissa delar av fängelset saknar ström.
d11_staffalert_summary_POWER02	Generatorn är överbelastad.
d11_staffalert_summary_PRISONERS02	Vi borde anställa fler vakter.
d11_staffalert_summary_PRISONERS03	Den generella cellkvaliteten är för låg.
d11_staffalert_summary_ROOMS01	Vissa av rummen är inte godkända.
d11_staffalert_summary_STAFF01	Personalen börjar bli utbränd.
d11_staffalert_summary_WATER01	Vissa delar av fängelset saknar vatten.
d11_staffalert_summary_WOW01	Du kan nu ladda upp den här kartan till Direktörernas domän.
d11_staffalert_title_CELLS01	Fängelset drivs inte på maxkapacitet.
d11_staffalert_title_CONTRABAND01	Tillgången till verktyg och vapen i fängelset är alarmerande hög.
d11_staffalert_title_CONTRABAND02	Tillgången till narkotika i fängelset är alarmerande hög.
d11_staffalert_title_CONTRABAND03	Stora mängder smuggelgods har hittats.
d11_staffalert_title_DEATHROW01	Överväg att bygga en dödscell i fängelset.
d11_staffalert_title_DOCTOR01	Ingen jobbar i sjukstugan.
d11_staffalert_title_HOLDINGCELL01	Häktescellerna är överfulla.
d11_staffalert_title_INFORMANTS01	En uppgiftslämnare svävar i livsfara.
d11_staffalert_title_MONEY01	Fängelset börjar få slut på pengar.
d11_staffalert_title_NEEDS01	För många interner klagar på bristande toalettillgång.
d11_staffalert_title_NEEDS02	För många interner klagar på bristande toalettillgång.
d11_staffalert_title_NEEDS03	För många interner klagar på sömnbrist.
d11_staffalert_title_NEEDS04	För många interner klagar på hunger.
d11_staffalert_title_NEEDS05	Antalet interner som saknar sina familjer är alarmerande högt.
d11_staffalert_title_NEEDS06	Fängelset är i stort behov av att städas.
d11_staffalert_title_NEEDS07	Internerna känner sig inte säkra här.
d11_staffalert_title_NEEDS08	Internerna är inte särskilt rena.
d11_staffalert_title_NEEDS09	Internerna behöver träning.
d11_staffalert_title_NEEDS10	Internerna är så uttråkade att de håller på att bli galna.
d11_staffalert_title_NEEDS11	Internerna behöver någonstans att sitta under sin fritid.
d11_staffalert_title_NEEDS12	Internerna vill ha lite privatliv.
d11_staffalert_title_NEEDS13	Internerna behöver fritid för att hålla sig lugna.
d11_staffalert_title_NEEDS14	Internerna behöver tillgång till rena kläder.
d11_staffalert_title_NEEDS15	Få kontroll över drogberoendet i fängelset.
d11_staffalert_title_NEEDS16	Få kontroll över alkoholismen i fängelset.
d11_staffalert_title_NEEDS18	Den andliga vägledningen har en lugnande effekt på internerna.
d11_staffalert_title_NEEDS19	Internerna kan inte läsa eller skriva.
d11_staffalert_title_OBJECTS01	Vi har inte det som krävs för att hantera en eldsvåda i fängelset.
d11_staffalert_title_OBJECTS02	Fängelset gör sig inte av med avfall på ett effektivt sätt.
d11_staffalert_title_OBJECTS03	Fängelset saknar ett heltäckande övervakningssystem.
d11_staffalert_title_OBJECTS04	Fängelset saknar ett dörrkontrollsystem.
d11_staffalert_title_POWER01	Vissa delar av fängelset saknar ström.
d11_staffalert_title_POWER02	En av generatorerna är överbelastad.
d11_staffalert_title_PRISONERS02	Vakterna är underlägsna i antal.
d11_staffalert_title_PRISONERS03	Cellkvaliteten är för låg.
d11_staffalert_title_ROOMS01	Ett rum i fängelset uppfyller inte kraven.
d11_staffalert_title_STAFF01	En majoritet av din personal är utbränd.
d11_staffalert_title_WATER01	Vissa delar av fängelset saknar rinnande vatten.
d11_staffalert_tooltip_CELLS01	Öka intaget av interner [[ButtonCross]]
d11_staffalert_tooltip_CONTRABAND01	Bygg metalldetektorer [[ButtonCross]]
d11_staffalert_tooltip_CONTRABAND02	Anställ hundförare [[ButtonCross]]
d11_staffalert_tooltip_CONTRABAND03	Visa underrättelserapport [[ButtonCross]]
d11_staffalert_tooltip_DEATHROW01a	Bygg en dödscell [[ButtonCross]]
d11_staffalert_tooltip_DEATHROW01b	Forska om dödscell [[ButtonCross]]
d11_staffalert_tooltip_DOCTOR01	Anställ doktorer [[ButtonCross]]
d11_staffalert_tooltip_HOLDINGCELL01	Bygg fler celler [[ButtonCross]]
d11_staffalert_tooltip_INFORMANTS01	Ändra till skyddshäkte [[ButtonCross]]
d11_staffalert_tooltip_MONEY01	Acceptera ett nytt bidrag [[ButtonCross]]
d11_staffalert_tooltip_NEEDS01	Lägg till fler toaletter [[ButtonCross]]
d11_staffalert_tooltip_NEEDS02	Lägg till fler toaletter [[ButtonCross]]
d11_staffalert_tooltip_NEEDS03	Modifiera regim [[ButtonCross]]
d11_staffalert_tooltip_NEEDS04	Anställ kockar [[ButtonCross]]
d11_staffalert_tooltip_NEEDS05	Bygg telefonkiosker [[ButtonCross]]
d11_staffalert_tooltip_NEEDS06	Anställ vaktmästare [[ButtonCross]]
d11_staffalert_tooltip_NEEDS07	Visa internernas behov [[ButtonCross]]
d11_staffalert_tooltip_NEEDS08	Modifiera regim [[ButtonCross]]
d11_staffalert_tooltip_NEEDS09	Bygg tyngdlyftarbänk [[ButtonCross]]
d11_staffalert_tooltip_NEEDS10	Bygg radio [[ButtonCross]]
d11_staffalert_tooltip_NEEDS11	Bygg bänk [[ButtonCross]]
d11_staffalert_tooltip_NEEDS12	Bygg fler celler [[ButtonCross]]
d11_staffalert_tooltip_NEEDS13	Modifiera regim [[ButtonCross]]
d11_staffalert_tooltip_NEEDS14	Bygg en tvättstuga [[ButtonCross]]
d11_staffalert_tooltip_NEEDS15	Starta farmakologisk terapi [[ButtonCross]]
d11_staffalert_tooltip_NEEDS16	Starta gruppterapi för alkoholister [[ButtonCross]]
d11_staffalert_tooltip_NEEDS18	Starta ett program för andlig vägledning [[ButtonCross]]
d11_staffalert_tooltip_NEEDS19	Bygg ett bibliotek [[ButtonCross]]
d11_staffalert_tooltip_OBJECTS01	Bygg sprinklers [[ButtonCross]]
d11_staffalert_tooltip_OBJECTS02	Bygg soptunnor [[ButtonCross]]
d11_staffalert_tooltip_OBJECTS03	Bygg övervakningskameror [[ButtonCross]]
d11_staffalert_tooltip_OBJECTS04	Bygg ett dörrkontrollsystem [[ButtonCross]]
d11_staffalert_tooltip_POWER01	Bygg elkablar [[ButtonCross]]
d11_staffalert_tooltip_POWER02	Öka strömförsörjningen [[ButtonCross]]
d11_staffalert_tooltip_PRISONERS02	Anställ vakter [[ButtonCross]]
d11_staffalert_tooltip_PRISONERS03	Förbättra celler [[ButtonCross]]
d11_staffalert_tooltip_ROOMS01	Kontrollera krav [[ButtonCross]]
d11_staffalert_tooltip_STAFF01	Bygg ett personalrum [[ButtonCross]]
d11_staffalert_tooltip_WATER01	Bygg vattenledningar [[ButtonCross]]
d11_staffalert_urgentsummary_CELLS01	Vi har massor av plats för fler interner!
d11_staffalert_urgentsummary_CONTRABAND01	Tillgången till verktyg och vapen i fängelset är alarmerande hög!
d11_staffalert_urgentsummary_CONTRABAND02	Tillgången till narkotika i fängelset är alarmerande hög!
d11_staffalert_urgentsummary_CONTRABAND03	Mängden smuggelgods i fängelset är bortom all kontroll!
d11_staffalert_urgentsummary_DEATHROW01	Vi skulle kunna tjäna snabba och stora pengar om vi byggde en dödscell i fängelset.
d11_staffalert_urgentsummary_DOCTOR01	Vi måste anställa doktorer som kan arbeta i sjukstugan!
d11_staffalert_urgentsummary_HOLDINGCELL01	Vi måste få ned antalet interner i häktescellerna!
d11_staffalert_urgentsummary_INFORMANTS01	En av våra uppgiftslämnare är på väg att bli avslöjad. Han svävar i livsfara!
d11_staffalert_urgentsummary_MONEY01	Vi börjar få riktigt dåligt med pengar!
d11_staffalert_urgentsummary_NEEDS01	Kom igen nu! Jag skämtar inte. Bygg fler toaletter!
d11_staffalert_urgentsummary_NEEDS02	Kom igen nu! Jag skämtar inte. Bygg fler toaletter!
d11_staffalert_urgentsummary_NEEDS03	Hallå, vakna! Internerna behöver sova!
d11_staffalert_urgentsummary_NEEDS04	Lägg ned kakan! Internerna är superhungriga!
d11_staffalert_urgentsummary_NEEDS05	Visa lite empati ... Du måste låta internerna kontakta sina familjer!
d11_staffalert_urgentsummary_NEEDS06	Usch! Fängelset är vidrigt.
d11_staffalert_urgentsummary_NEEDS07	Internerna känner sig inte säkra här. Snälla, gör någonting.
d11_staffalert_urgentsummary_NEEDS08	Usch, internerna är skitiga.
d11_staffalert_urgentsummary_NEEDS09	Kära nån, internerna är inte alls i gott slag.
d11_staffalert_urgentsummary_NEEDS10	Internerna är uttråkade bortom all sans!
d11_staffalert_urgentsummary_NEEDS11	Kom igen, de vill bara ha någonstans att sitta.
d11_staffalert_urgentsummary_NEEDS12	Internerna börjar bli arga. Det vill du inte uppleva ...
d11_staffalert_urgentsummary_NEEDS13	De är inga robotar, de behöver fritid för att överleva!
d11_staffalert_urgentsummary_NEEDS14	Herre min skapare! Det kryllar av sluskar i fängelset!
d11_staffalert_urgentsummary_NEEDS15	För många interner är drogberoende. Vi måste göra något!
d11_staffalert_urgentsummary_NEEDS16	Internerna har allvarliga alkoholproblem!
d11_staffalert_urgentsummary_NEEDS18	Internerna behöver andlig vägledning.
d11_staffalert_urgentsummary_NEEDS19	Vi borde göra i ordning ett rum för de interner som har lässvårigheter.
d11_staffalert_urgentsummary_OBJECTS01	Vi är i stor fara om en brand bryter ut!
d11_staffalert_urgentsummary_OBJECTS02	Vi måste verkligen köpa några soptunnor!
d11_staffalert_urgentsummary_OBJECTS03	Vi måste verkligen installera fler övervakningskameror!
d11_staffalert_urgentsummary_OBJECTS04	Det är dags att vi förbättrar effektiviteten och installerar ett dörrkontrollsystem!
d11_staffalert_urgentsummary_POWER01	Vissa delar av fängelset saknar fortfarande ström!
d11_staffalert_urgentsummary_POWER02	Generatorn är allvarligt överbelastad!
d11_staffalert_urgentsummary_PRISONERS02	Vi har för få vakter – du måste anställa fler!
d11_staffalert_urgentsummary_PRISONERS03	Den generella cellkvaliteten måste förbättras så snart som möjligt!
d11_staffalert_urgentsummary_ROOMS01	Vissa av rummen är fortfarande inte godkända!
d11_staffalert_urgentsummary_STAFF01	Personalen är utbränd – du måste göra något!
d11_staffalert_urgentsummary_WATER01	Vissa delar av fängelset saknar fortfarande vatten!
d11_ingredients_crops_per_day_tooltip	Antalet grödor som köpts under det senaste dygnet
buildtoolbar_popup_mat_grasscornerfloor	Ett gräshörn med jord. Bra för vinklade gångar.
buildtoolbar_popup_mat_grasscornerfloor1	Ett gräshörn med jord. Bra för vinklade gångar.
buildtoolbar_popup_mat_grasscornerfloor2	Ett gräshörn med jord. Bra för vinklade gångar.
buildtoolbar_popup_mat_grasscornerfloor3	Ett gräshörn med jord. Bra för vinklade gångar.
buildtoolbar_Logistics_CropDistribution	Kontrollera vilka rum skördade grödor flyttas till. Du kan även ändra distributionsandelen via fönstret “Hantera distributionen”.
d11_hover_alert_water	Kräver vatten
d11_hover_alert_electricity	Kräver elektricitet
interfacemode_objectPack_filter_caption	Filtrerar antalet visade objekt baserat på deras tillhörande expansionspaket.
interfacemode_objectType_filter_caption	Filtrerar antalet visade objekt baserat på typ av objekt.
d11_powerstation_overloaded_two_stations	Överladdning. Kraftstationer får inte vara kopplade till varandra
buildtoolbar_deployment_PrioritizeFarmer	Använd det här alternativet för att prioritera jordbrukare att utföra sitt arbete inom vissa områden framför andra yrkesgrupper på fängelset. Om du har brist på personal kommer jordbrukarna att försöka täcka dina prioriterade områden först. Placera ut en, två eller tre jordbrukare för att prioritera ett område.
interfacetopbar_tooltip_totalFarmers	*X jordbrukare totalt
interfacetopbar_tooltip_farmer	Antalet jordbrukare som finns tillgängliga för arbete på ditt fängelse.
interface_action_searchRoom	Sök igenom rummet
mutator_name_Noir	Noir
mutator_tooltip_Noir	Ett mörkt och smutsigt filter som gör ditt fängelse nästan helt färglöst.
mutator_name_RoofView	Takutsikt
mutator_tooltip_RoofView	Tillför en effekt som påminner om krigsdimma men som visar taken på byggnader i områden med låg sikt istället för ”dimman”.
job_group_hovering_expand	Klicka för att utvidga liknande jobbtyper
job_group_hovering_collapse	Klicka för att stänga liknande jobbtyper
dlc_seaandair	Öfängelse
d11_hover_quantity	x *X
dlc_name_psychWard	Psych Ward
dlc_name_seaAirLand	Öfängelse
interfacemode_objectType_filter_all	Objekttyp: Alla typer
d11_farm_search_freq_option_never	Aldrig
codex_options_staffalertscaption	Personalvarningar
reports_farmingpolicytitle	Jordbruksriktlinjer
