# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Tüm Değişiklikler
d11_meal_system_description	Hapishanenin yiyecek sistemi 4 etkene bağlıdır: yemek seçenekleri (Çeşitlilik ve Miktar), o sıradaki mahkum sayısı, o sıradaki öğün sayısı ve depolanmış malzeme miktarı. İthal malzemelerin aksine, hapishanede yetiştirilen ekinler yendiklerinde başka ihtiyaçların da giderilmesini sağlar ve mahkumlara "Sağlıklı" durumunu kazandırabilir.
d11_IngredientRatio_hint	Erzak bölümünde her iki malzeme çeşidinden o sırada kaç tane olduğunu gösterir.
d11_meal_ingredients_count_per_meal_hint	Seçilen yemek tercihlerine göre, o anda bulunan sayıdaki mahkumu bir öğünlüğüne beslemek için gereken malzeme sayısı
d11_meal_ingredients_count_per_day_hint	Seçilen yemek tercihlerine göre, o anda bulunan sayıdaki mahkumu bugün beslemek için gereken toplam malzeme sayısı
d11_crops_per_day_hint	Son 24 saatte satın alınmış ekin sayısı.
d11_imported_ingredients_cost_hint	Son 24 saatte satın alınan ve teslim edilen tüm malzemelerin
delivered	toplam bedeli
d11_crop_cost_hint	Son 24 saatte satın alınmış ekinlerin toplam bedeli.
d11_meal_cost_per_meal_hint	Seçilen yemek tercihleri ve ayrıcalıkları referans alınarak, bir mahkumu beslemenin ortalama masrafı
d11_meal_cost_total_hint	Yemek tercihleri ve o sıradaki mahkum sayısı referans alınarak, tüm mahkumları er öğün beslemenin toplam masrafı
d11_meal_estimated_price_hint	Tüm mahkumları beslemenin tahmini toplam masrafı. Bu değer, onu etkileyen dış sebepler dolayısıyla sadece tahmini olarak verilebilmektedir.
including	Buna düşen tohumlar, ekin büyüme süresi ve değişen mahsül miktarı dahildir.
d11_GreenPower_Locked	Bu enerji kaynağı, Hibeler menüsünden bir Çevreci Enerji Hedefi ile açılır.
d11_powerstation_overloaded_Raw_power	Aşırı yüklü, ham çevreci enerji elektrikli aletlere bağlanamaz.
D11_PowerExport_Error	Güç ihraç etmek için kablolarla bir Transformatöre bağla.
d11_powerexportmeter_powertosell	Şu Anki İhracat: *X$
d11_PowerExport_PowerCap	İhracat Üst Sınırı: [*X]
buildtoolbar_popup_uts_Transformer	Çevreci enerji kaynaklarının ürettiği elektriği, üstündeki ok işaretlerinin gösterdiği yöndeki akışı kullanarak elektrikli aletlere uygun akıma çevirir. Bitişiğindeki Aküler hem bağlı Çevreci Enerjinin hem de Elektrik Santrallerinin fazla enerjisiyle şarj olabilir ama transformatörlerin 5000 birimlik güç giriş sınırı vardır.
buildtoolbar_popup_uts_PowerExportMeter	Depolanmış elektriği şebekeye geri göndererek maddi kazanç elde etmeni sağlayan bir nesne. Doğru çalışması için Akü takılı bir Transformatör'e kablolarla bağlanmalıdır.
d11_continuous_fertilizer_tooltip	Otomatik olarak gübre almak isteyip istemediğini ve gübrenin kalite düzeyini seç.
d11_crop_types_tooltip	Otomatik olarak satın alınan ekinlerinin doğal mı GDO'lu mu olacağına karar ver. GDO'lu ürünlerin büyüme süresi %50 daha kısadır ama ihraç fiyatları da aynı oranda daha düşüktür ve mahkumlar bunları yediklerinde, ihtiyaçlarındaki giderilme artışı ortadan kalkar.
d11_farm_search_freq_tooltip	Tarım odaları hücre aramalarına dahil edilmediği için, bu tarım odalarında normal aramalar yapılmasını isteyip istemediğine karar vermek için bu seçeneği kullan.
d11_farm_search_target_tooltip	Tarım odaları hücre aramalarına dahil edilmediği için, hangi eşyaların ve kişilerin aranacağına Arama Sıklığı seçeneğiyle karar ver.
d11_continuous_planting_tooltip	Bu seçenek, ekinler hasat edildikten sonra yerlerine aynılarının ekilmesini otomatik hale getirir. Mantığı Ormanlık'takine benzer.
d11_researchhint_l_farming	Bu araştırma çeşitli Tarım özelliklerinin kilidini açar. Bunların arasında bulunanlar: Otomatik Tarım eşyaları, daha pahalı ekinler, Bitkisel Gübre Kutusu ve Gübre eşyaları, Kiler odası ve Yüksek Buzdolabı eşyası, ayrıca Hapishane İşçiliği işleri ve Ekin Dağıtımı'nı kontrol etme yöntemi.
object_quickconnect	Hızlı Bağla
objective_GoingGreenInfo_child_1	Yeşille Dost'un ana özellikleri aşağıdaki gibi. İmlecini her alt başlığın üzerinde tutarsan her özelliğin tanımı ve açıklaması görüntülenecek.
d11_cropDistributionHint	Sağ Tıkla: Dağıtımı Yönet
d11_manageCropsInstructions	Bir yüzdenin üzerine tıklayarak onu kilitleyebilir ve diğer odaların miktarının değişmesini durdurabilirsin. Veya ok düğmelerini kullanarak yüzdeleri değiştirebilirsin. Ekin türü başına miktarın üst sınırı tüm bağlantılı odalarda %100'dür.
dlc_name_seaAirLand	Ada Yolunda
interfacemode_objectType_filter_signs	Tabelalar
material_SellFlooring	Zemin Sat
object_AdvancedAutoGatherer	Gelişmiş Otomatik Toplayıcı
room_flowergarden	Çiçek Bahçesi
buildtoolbar_popup_obj_PinkFlamingo	Neşeli bir bahçe klasiği.
buildtoolbar_popup_uts_quickconnect	Gözetleme ve otomasyon sistemlerini bağlanabilecekleri en yakın nesneye hızla bağlar.
contraband_Ingredient	İçki Malzemesi
contraband_StashLocation	Zula Konumu

##-----------------STAFF ALERTS-----------------
d11_staffalert_title_MONEY01	Hapishanenin parası bitiyor.
d11_staffalert_title_PRISONERS02	Gardiyan sayısı mahkum sayısına göre az.
d11_staffalert_title_CONTRABAND03	Büyük miktarda kaçak mal bulundu.
d11_staffalert_title_CONTRABAND02	Hapishanedeki narkotik arzı tehlikeli olacak kadar yüksek.
d11_staffalert_title_CONTRABAND01	Hapishanedeki alet ve silah arzı tehlikeli olacak kadar yüksek.
d11_staffalert_title_NEEDS04	Çok fazla mahkum açlıktan yakınıyor.
d11_staffalert_title_NEEDS03	Çok fazla mahkum uykusuzluktan yakınıyor.
d11_staffalert_title_NEEDS01	Çok sayıda mahkum tuvalet eksikliğinden yakınıyor.
d11_staffalert_title_NEEDS02	Çok sayıda mahkum tuvalet eksikliğinden yakınıyor.
d11_staffalert_title_NEEDS08	Mahkumlarımız pek temiz değil.
d11_staffalert_title_OBJECTS04	Hapishanede Kapı Kontrol Sistemi eksik.
d11_staffalert_title_ROOMS01	Hapishanenede bir oda gereken kriterlere uymuyor.
d11_staffalert_title_INFORMANTS01	Bir muhbir büyük tehlikede.
d11_staffalert_title_HOLDINGCELL01	Nezarethanede çok fazla mahkum tutuluyor.
d11_staffalert_title_NEEDS06	Hapishanenin temizliğe çok fena ihtiyacı var.
d11_staffalert_title_NEEDS14	Mahkumlarımızın temiz giysilere erişime ihtiyacı var.
d11_staffalert_title_NEEDS13	Mahkumlarımızın sakin kalmaları için Serbest Zamana ihtiyaçları var.
d11_staffalert_title_NEEDS09	Mahkumlarımızın egzersize ihtiyacı var.
d11_staffalert_title_NEEDS10	Mahkumlar o kadar sıkıldı ki sıkıntıdan çıldıracaklar.
d11_staffalert_title_NEEDS11	Mahkumların Serbest Zamanda oturacak bir yere ihtiyacı var.
d11_staffalert_title_POWER01	Hapishanenin alanlarında elektrik yok.
d11_staffalert_title_WATER01	Hapishanenin alanlarında akan su yok.
d11_staffalert_title_CELLS01	Hapishane maksimum kapasitede çalışmıyor.
d11_staffalert_title_OBJECTS03	Hapishanede kapsamlı bir CCTV sistemi eksik.
d11_staffalert_title_OBJECTS01	Hapishanede çıkan bir yangınla başa çıkabilecek durumda değiliz.
d11_staffalert_title_POWER02	Elektrik Santrallerinden biri aşırı yüklendi.
d11_staffalert_title_DEATHROW01	Hapishanene Ölüm Hücresi eklemeyi düşün.
d11_staffalert_title_STAFF01	Personelinin çoğu yorulmuş durumda.
d11_staffalert_title_NEEDS12	Mahkumlarımız biraz mahremiyet istiyor.
d11_staffalert_title_NEEDS19	Mahkumlarımızın temel okuryazarlık becerileri yok.
d11_staffalert_title_NEEDS05	Ailesini özleyen mahkum sayısı tehlikeli düzeyde.
d11_staffalert_title_NEEDS07	Mahkumlarımız burada kendilerini güvende hissetmiyor.
d11_staffalert_title_NEEDS15	Hapishanendeki uyuşturucu bağımlılığı seviyelerini kontrol et.
d11_staffalert_title_NEEDS16	Hapishanendeki alkol bağımlılığı seviyelerini kontrol et.
d11_staffalert_title_NEEDS18	Ruhani Rehberliğin mahkumlar üzerinde sakinleştirici bir etkisi vardır.
d11_staffalert_title_PRISONERS03	Hücrelerimizin kalitesi çok düşük.
d11_staffalert_title_DOCTOR01	Revirde kimse çalışmıyor.
d11_staffalert_title_OBJECTS02	Hapishane atıklardan verimli bir şekilde kurtulmuyor.
d11_staffalert_details_MONEY01	Hapishanenin bankada sadece *A parası kaldı.
d11_staffalert_details_PRISONERS02	Mahkumlar *A:*B oranla Gardiyanlarından daha kalabalık.
d11_staffalert_details_CONTRABAND03	Son 7 günde *A adet kaçak mal ele geçirildi.
d11_staffalert_details_CONTRABAND02	Narkotik arzı *A konumunda.
d11_staffalert_details_CONTRABAND01a	Silah arzı *A konumunda.
d11_staffalert_details_CONTRABAND01b	Alet arzı *A konumunda.
d11_staffalert_details_NEEDS04a	*A mahkum inanılmaz aç.
d11_staffalert_details_NEEDS04b	Daha çok Mutfak inşa et.
d11_staffalert_details_NEEDS04c	Daha çok Aşçı işe al.
d11_staffalert_details_NEEDS04d	Rejimine Yemek Vakti aralıkları ekle.
d11_staffalert_details_NEEDS03	*A mahkumun acilen uykuya ihtiyacı var.
d11_staffalert_details_NEEDS01	*A mahkumun acilen tuvalete ihtiyacı var.
d11_staffalert_details_NEEDS02	*A mahkumun acilen tuvalete ihtiyacı var.
d11_staffalert_details_NEEDS08	*A mahkumun temizlik düzeyini arttırmnası gerek.
d11_staffalert_details_OBJECTS04	Kapı Kontrol Sistemi ve Kapı Servoları gerekiyor.
d11_staffalert_details_ROOMS01	Üstlerinde yanıp sönen kırmızı ünlem işareti olan odaların, listelenen tüm kriterleri karşıladığından emin ol.
d11_staffalert_details_INFORMANTS01	Mahkumlar *A adlı mahkumun muhbir olduğundan şüpheleniyor.
d11_staffalert_details_HOLDINGCELL01	*A mahkumun şu anda kendi hücresi yok.
d11_staffalert_details_NEEDS06a	Daha çok Hademe işe al.
d11_staffalert_details_NEEDS06b	Daha çok Temizlik Dolabı inşa et
d11_staffalert_details_NEEDS06c	Temizlik Dolaplarından mahkumlara iş ata.
d11_staffalert_details_NEEDS14a	*A mahkumun temiz giysilere ihtiyacı var.
d11_staffalert_details_NEEDS14b	Bir Çamaşırhane inşa et.
d11_staffalert_details_NEEDS14c	Bir Çamaşır Makinesi inşa et.
d11_staffalert_details_NEEDS14d	Bir Çamaşır Sepeti inşa et.
d11_staffalert_details_NEEDS13	*A mahkum daha çok Serbest Zaman istiyor.
d11_staffalert_details_NEEDS09	*A mahkumun forma girmesi gerek.
d11_staffalert_details_NEEDS10	*A mahkumun sakin kalmak için istirahat aktivitelrine ihtiyacı var.
d11_staffalert_details_NEEDS11	*A mahkum Serbest Zaman sırasında oturacak bir yer olmamasından yakınıyor.
d11_staffalert_details_POWER01	Üstünde yanıp sönen şimşek simgesi olan tüm nesneleri Elektrik Santraline bağla.
d11_staffalert_details_WATER01	Üstünde yanıp sönen su damlası simgesi olan tüm nesneleri su pompasına bağla.
d11_staffalert_details_CELLS01a	*A adet daha minimum güvenlik mahkumu alabiliriz.
d11_staffalert_details_CELLS01b	*A adet daha orta güvenlik mahkumu alabiliriz.
d11_staffalert_details_CELLS01c	*A adet daha maksimum güvenlik mahkumu alabiliriz.
d11_staffalert_details_CELLS01d	*A adet daha süper maks. güvenlik mahkumu alabiliriz.
d11_staffalert_details_CELLS01e	*A adet daha ölüm hücresi mahkumu alabiliriz.
d11_staffalert_details_CELLS01f	*A adet daha korumalı gözaltı mahkumu alabiliriz.
d11_staffalert_details_OBJECTS03	Daha çok CCTV kamerası gerekiyor.
d11_staffalert_details_OBJECTS01	Hapishanede sprinkler sistemi yok.
d11_staffalert_details_POWER02	Hapishanendeki bir Elektrik Santralinin üretim miktarı *A.
d11_staffalert_details_DEATHROW01	Hapisanene Ölüm Hücresi eklemek yüksek değer getiren Ölüm Hücresi mahkumlarını kabul etmeni sağlar.
d11_staffalert_details_STAFF01	Şu anda *A personel yorgun.
d11_staffalert_details_NEEDS12	*A mahkum yalnız kalabileecekleri bir yer istiyor.
d11_staffalert_details_NEEDS19	*A mahkumun temel okuryazarlık becerileri yok.
d11_staffalert_details_NEEDS05	*A mahkum ailesiyle iletişim kurmak için can atıyor.
d11_staffalert_details_NEEDS07	*A canından endişe ediyor!
d11_staffalert_details_NEEDS15	*A mahkum uyuşturucu bağımlısı.
d11_staffalert_details_NEEDS16	*A mahkumun alkol sorunu var.
d11_staffalert_details_NEEDS18	*A mahkum ruhani liderlik istiyor.
d11_staffalert_details_PRISONERS03	*A mahkum şu anda hak ettiği düzeyde bir hücrede yaşamıyor.
d11_staffalert_details_DOCTOR01	Yaralı mahkumları ve Gardiyanları tedavi etmesi için doktor işe almalıyız.
d11_staffalert_details_OBJECTS02	Daha çok Çöp Kutusu gerekiyor.
d11_staffalert_hint_MONEY01	Hapishanenin parası bitiyor. Günlük gelirimizi arttırmak için daha çok mahkum almayı ya da yeni bir hibenin koşullarını yerine getirip büyük bir nakit enjeksiyonu almayı önerebilir miyim?
d11_staffalert_hint_PRISONERS02	Gardiyanlarının sayısının mahkumlara göre bu kadar az olması güvenli değil. Her gardiyan 5 kadar mahkumu güvenle idare edebilir.
d11_staffalert_hint_CONTRABAND03	Son 7 günün kaçak mal kaynaklarını kontrol etmek ve onları kapatacak önlemler almak için gönderdiğim kaçak mal istihbarat raporunu oku.
d11_staffalert_hint_CONTRABAND02	Mahkumlar narkotiklere kolayca erişebiliyor. Bu çok tehlikeli bir şey. İşe Köpek Eğiticileri al ve hücre bloklarının etrafında devriye gezmelerini sağla ya da hapishane çapında bir Hücre Araması yapılmasını emret.
d11_staffalert_hint_CONTRABAND01	Mahkumlar aletlere ve silahlara kolayca erişebiliyor. Bu çok tehlikeli bir şey. Kaçak Mal kaynaklarının yakınlarına metal dedektörleri yerleştir ya da hapishane çapında bir Hücre Araması yapılmasını emret.
d11_staffalert_hint_NEEDS04	Mahkumlar zaman içinde acıkır. Kantinde yeterince alan ve yemeğe ayrılmış yeterince zaman olduğundan emin ol. Böylece herkes yemek yiyebilir.
d11_staffalert_hint_NEEDS03	Mahkumların mutlu kalması için uykuya ihtiyaçları vardır. Bunu ayrılmış Uyku sürelerinde ya da Serbest Zamanda yapabilirler.
d11_staffalert_hint_NEEDS01	Mahkumların tuvalete erişimi olmalı. Hapishanene daha çok tuvalet ekleyebilir ya da ayırdığın Serbest Zamanı arttırabilirsin.
d11_staffalert_hint_NEEDS02	Mahkumların tuvalete erişimi olmalı. Hapishanene daha çok tuvalet ekleyebilir ya da ayırdığın Serbest Zamanı arttırabilirsin.
d11_staffalert_hint_NEEDS08	Hijyen günlük hayatta çok önemli, hapishanede ise vazgeçilmez. Mahkumlarının duş alabilecek bol bol zamanı olduğundan emin ol.
d11_staffalert_hint_OBJECTS04	Gardiyanlarımız şu anda insanlara hapishanenin kapısını açmaya çok fazla zaman harcıyor. Zamanları buna harcanamayacak kadar değerli! Bir Kapı Kontrol Sistemi yerleştirirsen tek bir Gardiyan pek çok kapıyı uzaktan açabilir.
d11_staffalert_hint_ROOMS01	Tüm odaların karşılaman gereken bazı gereksinimleri vardır. Üstlerinde yanıp sönen kırmızı ünlem işareti olan odaları seçerek hangi gereksinimleri karşılamadığını gör.
d11_staffalert_hint_INFORMANTS01	Muhbirimiz korumamız olmadan burada pek dayanamaz. Güvenlik seviyesini Korumalı Gözaltı'ya çevirip onu genel hapishane nüfusunun arasından çıkarmayı öneriyorum.
d11_staffalert_hint_HOLDINGCELL01	Bu kadar çok mahkumu uzun süre Nezarethanede bırakmak tehlikeli. En kısa sürede onları koyacak daha çok Hücre yapmalısın yoksa isyan çıkarabilirler!
d11_staffalert_hint_NEEDS06	Hapishane çok kirli ve bu mahkumlarını çok mutsuz ediyor. Olabildiğince çabuk temizlemenin bir yolunu bul yoksa sinirlenecekler.
d11_staffalert_hint_NEEDS14	Tüm mahkumların tek bir isteği vardır: hapiste olmamak. Bunu onlara veremeyiz ama bol bol Serbest Zaman vererek hapisliklerini daha iyi hale getirebiliriz.
d11_staffalert_hint_NEEDS13	Tüm mahkumların tek bir isteği vardır: hapiste olmamak. Bunu onlara veremeyiz ama bol bol Serbest Zaman vererek hapisliklerini daha iyi hale getirebiliriz.
d11_staffalert_hint_NEEDS09	Egzersiz mahkumları formda, sağlıklı ve mutlu tutar. Ağırlık sehpalarına kolayca erişebildiklerinden emin ol.
d11_staffalert_hint_NEEDS10	Mahkumlarına Bilardo Masası, Radyo ve TV gibi eşyalara erişim vererek günlük monotonluğu kır.
d11_staffalert_hint_NEEDS11	Dinlenme zamanı herkes için önemli ama hapiste bulmak zor olabilir. Mahkumlarına oturabilecekleri banklar ve kanepeler vermen rahatlamalarına yardımcı olur.
d11_staffalert_hint_POWER01	Bazı nesnelerin çalışması için bir Elektrik Santraline bağlanmaları gerekir. Üstünde yanıp sönen şimşek simgesi olan tüm nesneleri kablolarla su pompasına bağla.
d11_staffalert_hint_WATER01	Bazı nesnelerin çalışması için bir su pompasına bağlanmaları gerekir. Üstünde yanıp sönen su damlası simgesi olan tüm nesneleri borularla su pompasına bağla.
d11_staffalert_hint_CELLS01	Daha çok mahkum almak bize peşin olarak güzel bir nakit bonusu verir. Ayrıca devletten her gün daha çok para alırız. Mümkünse hep tam kapasite çalışmalıyız!
d11_staffalert_hint_OBJECTS03	CCTV Kameraları, hapishane alanlarını oralarda Gardiyan olmadığında bile gözlemlememize olanak tanır. Tek bir CCTV Monitörü, bir Gardiyanın 8 farklı CCTV Kamerasını görüntülemesini sağlar. Mutlaka alınmalı!
d11_staffalert_hint_OBJECTS01	Şu anda hapishanede çıkacak bir yangını söndürmek için yeterli ekipmanımız yok. En kısa zamanda bir sprinkler sistemi yerleştirmeliyiz.
d11_staffalert_hint_POWER02	Elektrik Santralimiz ciddi düzeyde aşırı yüklenmiş. Ona daha çok kapasitör ekle ya da yükü paylaşması için yeni bir santral inşa et. Ama dikkatli ol, Elektrik Santralleri birbirlerine bağlanamaz!
d11_staffalert_hint_DEATHROW01	Hapishaneye Ölüm Hücresi eklemek risklidir çünkü yasal gereksinimlerin karşılanması için idam işleminin çok dikkatli yapılması gerekir. Ama çok para kazanabiliriz, bu yüzden riske değer!
d11_staffalert_hint_STAFF01	Personelin yorgunsa etkin bir şekilde çalışamaz. Onlara dinlenebilecekleri bir Personel Odası yap ya da üstlerindeki yükü azaltmak için işe yeni personel al.
d11_staffalert_hint_NEEDS12	Bazen mahkumların da tek başına vakit geçirmeye ihtiyacı olur. Ama hapishaneden "sorun sende değil bende" deyip ayrılamazsın. Mahkumların kendilerine ait bir hücreye sahip olduğundan emin ol.
d11_staffalert_hint_NEEDS19	Okuyanın binlerce yaşamı olur, okumayanın tek bir tane. Mahkumlarının kütüphaneye erişimi olmasını sağla, yapacakları tek "kaçış" iyi bir kitaba dalmak olsun.
d11_staffalert_hint_NEEDS05	Mahkumların aileleriyle görüşmelerine izin vermezsen öfkelenebilirler. Hapishane hüznünü uzak tutmak için bir Görüş Odası, Posta Odası ya da Telefon Kulübeleri inşa et.
d11_staffalert_hint_NEEDS07	Hapishanenin tehlike seviyesi çok yüksekse, pek çok mahkum kendini güvensiz hissetmeye ve korkmaya başlar. Mahkumların diğer ihtiyaçlarını gidererek tehlike seviyeni düşür.
d11_staffalert_hint_NEEDS15	Bazı mahkumlar hapishaneye uyuşturucu bağımlısı olarak gelir. Bağımlılıklarını yenemezlerse öfkelenmeye başlarlar ya da madde kullanmak için kaçak mal alıp satarlar. Düzelmelerine yardımcı olmak için ıslah programlarını kullan.
d11_staffalert_hint_NEEDS16	Bazı mahkumlar hapishaneye alkol bağımlısı olarak gelir. Bağımlılıklarını yenemezlerse öfkelenmeye başlarlar ya da madde kullanmak için kaçak mal alıp satarlar. Düzelmelerine yardımcı olmak için ıslah programlarını kullan.
d11_staffalert_hint_NEEDS18	Ruhani Rehberlik programlarına gitmenin mahkumlar üzerinde sakinleştirici bir etksi vardır. Bu sakinliği diğer mahkumlara da yayarlar.
d11_staffalert_hint_PRISONERS03	Tüm mahkumlarımız, davranış biçimlerine göre belirli bir kalite seviyesini hak eder. Lojistik ekranından hücrenin kalitesini arttır.
d11_staffalert_hint_DOCTOR01	İşe Doktor almazsan Revirdeki kimseyi tedavi edemeyiz. Doktorlar personelin ya da mahkumların başına gelen yaralanmaları tedavi etmek için Reviri kullanır.
d11_staffalert_hint_OBJECTS02	Çöp Kutularına boşaltılmaları gerekene kadar bir sürü çöp koyabiliriz. Yani çöplüğe daha az gitmemizi sağlarlar. Mutfağa çöp kutuları ekle ve verimliliği arttırmak için Metal Dedektörlerinin yakınına çöp kutusu yerleştir.
d11_staffalert_tooltip_MONEY01	Yeni bir Hibeyi kabul et [[*X]]
d11_staffalert_tooltip_PRISONERS02	Gardiyan İşe Al [[*X]]
d11_staffalert_tooltip_CONTRABAND03	İstihbarat Raporunu Görüntüle [[*X]]
d11_staffalert_tooltip_CONTRABAND02	Köpek Eğiticisi İşe Al [[*X]]
d11_staffalert_tooltip_CONTRABAND01	Metal Dedektörü İnşa Et [[*X]]
d11_staffalert_tooltip_NEEDS04	Aşçı İşe Al [[*X]]
d11_staffalert_tooltip_NEEDS03	Rejimi Değiştir [[*X]]
d11_staffalert_tooltip_NEEDS01	Daha çok tuvalet ekle [[*X]]
d11_staffalert_tooltip_NEEDS02	Daha çok tuvalet ekle [[*X]]
d11_staffalert_tooltip_NEEDS08	Rejimi Değiştir [[*X]]
d11_staffalert_tooltip_OBJECTS04	Kapı Kontrol Sistemi İnşa Et [[*X]]
d11_staffalert_tooltip_ROOMS01	Gereksinimleri Kontrol Et [[*X]]
d11_staffalert_tooltip_INFORMANTS01	Korumalı Gözaltı'na Değiştir [[*X]]
d11_staffalert_tooltip_HOLDINGCELL01	Daha Çok Hücre İnşa Et [[*X]]
d11_staffalert_tooltip_NEEDS06	Hademe İşe Al [[*X]]
d11_staffalert_tooltip_NEEDS14	Bir Çamaşırhane İnşa Et [[*X]]
d11_staffalert_tooltip_NEEDS13	Rejimi Değiştir [[*X]]
d11_staffalert_tooltip_NEEDS09	Ağırlık Sehpası İnşa Et [[*X]]
d11_staffalert_tooltip_NEEDS10	Radyo İnşa Et [[*X]]
d11_staffalert_tooltip_NEEDS11	Bank İnşa Et [[*X]]
d11_staffalert_tooltip_POWER01	Elektrik Kablosu Döşe [[*X]]
d11_staffalert_tooltip_WATER01	Su Borusu Döşe [[*X]]
d11_staffalert_tooltip_CELLS01	Mahkum Alımını Arttır [[*X]]
d11_staffalert_tooltip_OBJECTS03	CCTV Kamerası İnşa Et [[*X]]
d11_staffalert_tooltip_OBJECTS01	Sprinkler İnşa Et [[*X]]
d11_staffalert_tooltip_POWER02	Enerji Kaynaklarını Arttır [[*X]]
d11_staffalert_tooltip_DEATHROW01a	Bir Ölüm Hücresi İnşa Et [[*X]]
d11_staffalert_tooltip_DEATHROW01b	Ölüm Hücresi'ni Araştır [[*X]]
d11_staffalert_tooltip_STAFF01	Personel Odası İnşa Et [[*X]]
d11_staffalert_tooltip_NEEDS12	Daha Fazla Hücre Yap [[*X]]
d11_staffalert_tooltip_NEEDS19	Kütüphane İnşa Et [[*X]]
d11_staffalert_tooltip_NEEDS05	Telefon Kulübesi İnşa Et [[*X]]
d11_staffalert_tooltip_NEEDS07	Mahkum İhtiyaçlarını Görüntüle [[*X]]
d11_staffalert_tooltip_NEEDS15	Farmakolojik Terapiye Başla [[*X]]
d11_staffalert_tooltip_NEEDS16	Alkolikler Grubu Terapisine Başla [[*X]]
d11_staffalert_tooltip_NEEDS18	Bir Ruhani Rehberlik programı başlat [[*X]]
d11_staffalert_tooltip_PRISONERS03	Hücreleri Geliştir [[*X]]
d11_staffalert_tooltip_DOCTOR01	Doktor İşe Al [[*X]]
d11_staffalert_tooltip_OBJECTS02	Çöp Kutusu İnşa Et [[*X]]
d11_staffalert_summary_MONEY01	Nakdimiz azaldı.
d11_staffalert_summary_PRISONERS02	Daha çok Gardiyan işe almalıyız.
d11_staffalert_summary_CONTRABAND03	Hapishanedeki kaçak mal seviyesi çok yüksek.
d11_staffalert_summary_CONTRABAND02	Çok fazla mahkumun narkotiklere erişimi var.
d11_staffalert_summary_CONTRABAND01	Çok fazla mahkumun araçlara ve silahlara erişimi var.
d11_staffalert_summary_NEEDS04	Mahkumların aç geziyor.
d11_staffalert_summary_NEEDS03	Mahkumlarımız hep çok yorgun görünüyor.
d11_staffalert_summary_NEEDS01	Daha çok tuvalet inşa etmeliyiz.
d11_staffalert_summary_NEEDS02	Daha çok tuvalet inşa etmeliyiz.
d11_staffalert_summary_NEEDS08	Ah, mahkumlarımız biraz pasaklı görünüyor.
d11_staffalert_summary_OBJECTS04	Kapı Kontrol Sistemi yerleştirerek verimliliği arttırmalıyız.
d11_staffalert_summary_ROOMS01	Odalarından bazıları geçersiz.
d11_staffalert_summary_INFORMANTS01	Mahkumlar muhbirlerimizden birinden çok şüpheleniyor.
d11_staffalert_summary_HOLDINGCELL01	Nezarethanelerimizde çok fazla mahkum var.
d11_staffalert_summary_NEEDS06	Bu hapishanenin temizliğe ihtiyacı var.
d11_staffalert_summary_NEEDS14	Hmmm, mahkumlarımızın giysileri biraz... eski püskü görünüyor.
d11_staffalert_summary_NEEDS13	Mahkumlarımız daha çok Serbest Zaman istiyor.
d11_staffalert_summary_NEEDS09	Mahkumlarımız pek formda değil.
d11_staffalert_summary_NEEDS10	Mahkumlarımız biraz sıkılmış.
d11_staffalert_summary_NEEDS11	Mahkumlar Serbest Zaman sırasında oturacak yer olmamasından yakınıyor.
d11_staffalert_summary_POWER01	Hapishanenin bazı alanlarında elektrik yok.
d11_staffalert_summary_WATER01	Hapishanenin bazı alanlarında su yok.
d11_staffalert_summary_CELLS01	Daha çok mahkum alacak yerimiz var.
d11_staffalert_summary_OBJECTS03	CCTV kamerası yerleştirmeliyiz.
d11_staffalert_summary_OBJECTS01	Yangın çıkarsa risk altındayız.
d11_staffalert_summary_POWER02	Elektrik Santralin aşırı yüklendi.
d11_staffalert_summary_DEATHROW01	Hapishanemize Ölüm Hücresi eklersek fazladan para kazanabiliriz.
d11_staffalert_summary_STAFF01	Personelin yoruluyor.
d11_staffalert_summary_NEEDS12	Mahkumlarımız biraz mahremiyet istiyor.
d11_staffalert_summary_NEEDS19	Çok fazla mahkumun temel okuryazarlık becerileri yok.
d11_staffalert_summary_NEEDS05	Mahkumlarımız ailelerini özlüyor.
d11_staffalert_summary_NEEDS07	Mahkumlarımız kendilerini güvende hissetmiyor.
d11_staffalert_summary_NEEDS15	Ah olamaz, pek çok mahkumumuzun uyuşturucu sorunu var gibi.
d11_staffalert_summary_NEEDS16	Görünüşe göre mahkumlarımızdan pek çoğu içkiye epey düşkün.
d11_staffalert_summary_NEEDS18	Mahkumlarımızdan pek çoğu ruhani rehberlik arayışında.
d11_staffalert_summary_PRISONERS03	Hücrelerimizin genel kalitesi çok düşük.
d11_staffalert_summary_DOCTOR01	Revirimizde çalışacak doktorlar işe almalıyız.
d11_staffalert_summary_OBJECTS02	Çöp kutusu almalıyız.
d11_staffalert_urgentsummary_MONEY01	Nakitimiz ciddi miktarda azaldı.
d11_staffalert_urgentsummary_PRISONERS02	Gardiyan sayımız mahkum sayısına göre az, daha çok Gardiyan işe almalısın!
d11_staffalert_urgentsummary_CONTRABAND03	Bu hapishanedeki kaçak mal seviyesi kontrolden çıktı!
d11_staffalert_urgentsummary_CONTRABAND02	Hapishanedeki narkotiklerin erişilebilirliği tehlikeli düzeyde!
