# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lijst van wijzigingen
d11_staffalert_hint_NEEDS16	Sommige gedetineerden zijn verslaafd aan alcohol als ze in de gevangenis terechtkomen. Als ze verslaving niet de baas kunnen, worden ze kwaad of slaan ze aan het smokkelen om toch aan drank te komen. Gebruik hervormingsprogramma's om ze van de verslaving af te helpen.
d11_staffalert_hint_NEEDS18	Gevangenen die spirituele begeleidingsprogramma's volgen, worden kalmer. Ze geven dit effect ook door aan andere gevangenen.
d11_staffalert_hint_NEEDS19	Een lezer leeft wel duizend levens; wie nooit leest, leeft er slechts één. Geef je gevangenen  een bibliotheek zodat ze even kunnen 'ontsnappen' naar een andere wereld.
d11_staffalert_hint_OBJECTS01	Op dit moment kunnen we niets doen als er brand uitbreekt in de gevangenis. We moeten zo snel mogelijk een sprinklerinstallatie aanleggen.
d11_staffalert_hint_OBJECTS02	In prullenbakken kunnen we veel afval kwijt, zodat we minder vaak naar de vuilnisbelt hoeven gaan. Voeg prullenbakken toe aan de keuken en plaats ze in de buurt van metaaldetectoren voor een efficiëntere werking.
d11_staffalert_hint_OBJECTS03	Met bewakingscamera's kun je de onbemande delen van je gevangenis in de gaten houden. Met één monitor kan een bewaker beelden van 8 verschillende camera's in de gaten houden. Een goede investering!
d11_staffalert_hint_OBJECTS04	Onze bewakers moeten voortdurend gevangenisdeuren opendoen voor mensen. Ze kunnen hun tijd wel beter gebruiken! Installeer een deursysteem zodat één bewaker meerder deuren op afstand kan bedienen.
d11_staffalert_hint_POWER01	Bepaalde voorwerpen hebben stroom nodig om te werken. Sluit alle voorwerpen met knipperende bliksemschichticoontjes aan op een krachtcentrale met behulp van elektrische kabels.
d11_staffalert_hint_POWER02	Onze krachtcentrale is zwaar overbelast. Voeg meer condensators toe of bouw een extra krachtcentrale. Maar pas op, krachtcentrales kunnen niet aan elkaar verbonden worden!
d11_staffalert_hint_PRISONERS02	Het is zeer riskant als er zo veel meer gevangenen dan bewakers zijn. Eén bewaker per 5 gevangenen is veilig.
d11_staffalert_hint_PRISONERS03	Alle gevangenen hebben recht op een cel van een bepaalde kwaliteit, afhankelijk van hun gedrag. Verbeter de kwaliteit van een cel in het scherm Logistiek.
d11_staffalert_hint_ROOMS01	Alle kamers moeten voldoen aan bepaalde vereisten. Kamers met knipperende rode uitroeptekens geven aan dat ze niet aan de vereisten voldoen.
d11_staffalert_hint_STAFF01	Je personeelsleden kunnen niet goed werken als ze uitgeput zijn. Bouw een personeelskamer waar ze zich kunnen ontspannen, of neem meer personeel aan om de werkdruk te verminderen.
d11_staffalert_hint_WATER01	Bepaalde voorwerpen moeten aangesloten zijn op een waterpomp om te kunnen functioneren. Sluit alle voorwerpen met knipperende waterdruppelicoontjes erop aan met behulp van waterleidingen.
d11_staffalert_summary_CELLS01	We hebben ruimte om meer gevangenen te accepteren.
d11_staffalert_summary_CONTRABAND01	Er zijn te veel gevangenen met toegang tot hulpmiddelen en wapens.
d11_staffalert_summary_CONTRABAND02	Er zijn te veel gevangenen met toegang tot drugs.
d11_staffalert_summary_CONTRABAND03	Er is veel smokkelwaar aanwezig in je gevangenis.
d11_staffalert_summary_DEATHROW01	We kunnen extra geld verdienen als we dodencellen toevoegen aan de gevangenis.
d11_staffalert_summary_DOCTOR01	We moeten artsen aannemen om in de ziekenboeg te werken.
d11_staffalert_summary_HOLDINGCELL01	We hebben te veel gevangenen in de tijdelijke cellen.
d11_staffalert_summary_INFORMANTS01	De gevangenen vinden een van onze informanten erg verdacht.
d11_staffalert_summary_MONEY01	Ons geld raakt op.
d11_staffalert_summary_NEEDS01	We moeten meer wc's bouwen.
d11_staffalert_summary_NEEDS02	We moeten meer wc's bouwen.
d11_staffalert_summary_NEEDS03	Onze gevangenen zien er altijd afgepeigerd uit.
d11_staffalert_summary_NEEDS04	Je gevangenen hebben honger.
d11_staffalert_summary_NEEDS05	Onze gevangenen missen hun familie.
d11_staffalert_summary_NEEDS06	De gevangenis kan wel een schoonmaakbeurt gebruiken.
d11_staffalert_summary_NEEDS07	Onze gevangenen voelen zich niet veilig.
d11_staffalert_summary_NEEDS08	Onze gevangenen zien er een beetje groezelig uit.
d11_staffalert_summary_NEEDS09	Onze gevangenen zijn niet erg fit.
d11_staffalert_summary_NEEDS10	Onze gevangenen vervelen zich een beetje.
d11_staffalert_summary_NEEDS11	Gevangenen klagen over te weinig zitplaatsen voor in de vrije tijd.
d11_staffalert_summary_NEEDS12	Onze gevangenen willen wat privacy.
d11_staffalert_summary_NEEDS13	Onze gevangenen willen meer vrije tijd.
d11_staffalert_summary_NEEDS14	Hmm, de kleding van onze gevangenen ziet er een beetje... afgedragen uit.
d11_staffalert_summary_NEEDS15	O jee. Zo te zien zijn veel gevangenen verslaafd aan drugs.
d11_staffalert_summary_NEEDS16	Het lijkt erop dat veel gevangenen erg veel van een borrel houden.
d11_staffalert_summary_NEEDS18	Veel van de gevangenen hebben behoefte aan spirituele begeleiding.
d11_staffalert_summary_NEEDS19	Te veel gevangenen kunnen niet lezen en schrijven.
d11_staffalert_summary_OBJECTS01	We lopen gevaar als er brand uitbreekt.
d11_staffalert_summary_OBJECTS02	We moeten een aantal prullenbakken kopen.
d11_staffalert_summary_OBJECTS03	We moeten bewakingscamera's installeren.
d11_staffalert_summary_OBJECTS04	We moeten het hier efficiënter maken met een deursysteem.
d11_staffalert_summary_POWER01	Sommige delen van de gevangenis hebben geen stroom.
d11_staffalert_summary_POWER02	Je krachtcentrale is overbelast.
d11_staffalert_summary_PRISONERS02	We moeten meer bewakers aannemen.
d11_staffalert_summary_PRISONERS03	De algemene kwaliteit van onze cellen is te laag.
d11_staffalert_summary_ROOMS01	Sommige kamers zijn onbruikbaar.
d11_staffalert_summary_STAFF01	Je personeel raakt uitgeput.
d11_staffalert_summary_WATER01	Sommige delen van de gevangenis zitten zonder water.
d11_staffalert_summary_WOW01	Je kunt deze kaart nu uploaden naar Wereld van de Bajesbazen.
d11_staffalert_title_CELLS01	De gevangenis benut niet de volledige capaciteit.
d11_staffalert_title_CONTRABAND01	Er zijn heel veel hulpmiddelen en wapens in de gevangenis. De situatie is erg gevaarlijk.
d11_staffalert_title_CONTRABAND02	Het aanbod aan drugs in de gevangenis is gevaarlijk hoog.
d11_staffalert_title_CONTRABAND03	Grote hoeveelheden smokkelwaar gevonden.
d11_staffalert_title_DEATHROW01	Denk er eens over om dodencellen aan je gevangenis toe te voegen.
d11_staffalert_title_DOCTOR01	Er werkt niemand in de ziekenboeg.
d11_staffalert_title_HOLDINGCELL01	Er zitten te veel gevangenen in tijdelijke cellen.
d11_staffalert_title_INFORMANTS01	Een informant is in groot gevaar.
d11_staffalert_title_MONEY01	De gevangenis heeft niet veel geld meer.
d11_staffalert_title_NEEDS01	Er klagen te veel gevangenen over een gebrek aan wc's.
d11_staffalert_title_NEEDS02	Er klagen te veel gevangenen over een gebrek aan wc's.
d11_staffalert_title_NEEDS03	Er klagen te veel gevangenen over slaapgebrek.
d11_staffalert_title_NEEDS04	Er klagen te veel gevangenen over een korrende maag.
d11_staffalert_title_NEEDS05	Het aantal gevangenen die hun familie missen, is gevaarlijk hoog.
d11_staffalert_title_NEEDS06	De gevangenis is heel hard aan een schoonmaakbeurt toe.
d11_staffalert_title_NEEDS07	Onze gevangenen voelen zich hier niet veilig.
d11_staffalert_title_NEEDS08	Onze gevangenen zijn niet bepaald schoon.
d11_staffalert_title_NEEDS09	Onze gevangenen hebben beweging nodig
d11_staffalert_title_NEEDS10	De gevangenen vervelen zich zo erg dat ze knettergek worden.
d11_staffalert_title_NEEDS11	Gevangenen moeten ergens kunnen zitten in hun vrije tijd.
d11_staffalert_title_NEEDS12	Onze gevangenen willen wat privacy.
d11_staffalert_title_NEEDS13	Onze gevangenen hebben vrije tijd nodig om ze rustig te houden.
d11_staffalert_title_NEEDS14	Onze gevangenen hebben toegang tot schone kleren nodig.
d11_staffalert_title_NEEDS15	Houd de hoeveelheid drugsverslaafden in je gevangenis onder controle.
d11_staffalert_title_NEEDS16	Doe iets aan het grote aantal alcoholverslaafden in je gevangenis.
d11_staffalert_title_NEEDS18	Spirituele begeleiding heeft een kalmerend effect op gevangenen.
d11_staffalert_title_NEEDS19	Onze gevangenen kunnen niet lezen en schrijven.
d11_staffalert_title_OBJECTS01	We hebben niet de juiste uitrusting om een brand te blussen.
d11_staffalert_title_OBJECTS02	De gevangenis kan het afval niet efficiënt kwijt.
d11_staffalert_title_OBJECTS03	De gevangenis heeft geen uitgebreid camerasysteem.
d11_staffalert_title_OBJECTS04	De gevangenis heeft geen deursysteem.
d11_staffalert_title_POWER01	Delen van de gevangenis hebben geen stroom.
d11_staffalert_title_POWER02	Een van onze krachtcentrales is overbelast.
d11_staffalert_title_PRISONERS02	De bewakers zijn in de minderheid.
d11_staffalert_title_PRISONERS03	De kwaliteit van onze cellen is te laag.
d11_staffalert_title_ROOMS01	Een kamer in je gevangenis voldoet niet aan de vereisten.
d11_staffalert_title_STAFF01	De meerderheid van je personeel is uitgeput.
d11_staffalert_title_WATER01	Sommige delen van de gevangenis zitten zonder stromend water.
d11_staffalert_tooltip_CELLS01	Toestroom gevangenen vergroten [[ButtonCross]]
d11_staffalert_tooltip_CONTRABAND01	Metaaldetectors bouwen [[ButtonCross]]
d11_staffalert_tooltip_CONTRABAND02	Hondentrainers aannemen [[ButtonCross]]
d11_staffalert_tooltip_CONTRABAND03	Inlichtingenverslag bekijken [[ButtonCross]]
d11_staffalert_tooltip_DEATHROW01a	Dodencellen bouwen [[ButtonCross]]
d11_staffalert_tooltip_DEATHROW01b	Dodencellen onderzoeken [[ButtonCross]]
d11_staffalert_tooltip_DOCTOR01	Artsen aannemen [[ButtonCross]]
d11_staffalert_tooltip_HOLDINGCELL01	Meer cellen bouwen [[ButtonCross]]
d11_staffalert_tooltip_INFORMANTS01	Wijzigen in afzondering [[ButtonCross]]
d11_staffalert_tooltip_MONEY01	Nieuwe subsidie aannemen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS01	Meer wc's toevoegen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS02	Meer wc's toevoegen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS03	Dagrooster wijzigen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS04	Koks aannemen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS05	Telefoonhokjes bouwen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS06	Schoonmaker aannemen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS07	Behoeften van gevangenen bekijken [[ButtonCross]]
d11_staffalert_tooltip_NEEDS08	Dagrooster wijzigen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS09	Halterbank bouwen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS10	Radio bouwen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS11	Bankje bouwen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS12	Meer cellen aanmaken [[ButtonCross]]
d11_staffalert_tooltip_NEEDS13	Dagrooster wijzigen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS14	Wasserette bouwen [[ButtonCross]]
d11_staffalert_tooltip_NEEDS15	Farmacologische therapie starten [[ButtonCross]]
d11_staffalert_tooltip_NEEDS16	Groepstherapie voor alcoholisten starten [[ButtonCross]]
d11_staffalert_tooltip_NEEDS18	Een spiritueel begeleidingsprogramma starten  [[ButtonCross]]
d11_staffalert_tooltip_NEEDS19	Bibliotheek bouwen [[ButtonCross]]
d11_staffalert_tooltip_OBJECTS01	Sprinklers bouwen [[ButtonCross]]
d11_staffalert_tooltip_OBJECTS02	Prullenbakken bouwen [[ButtonCross]]
d11_staffalert_tooltip_OBJECTS03	Bewakingscamera's bouwen [[ButtonCross]]
d11_staffalert_tooltip_OBJECTS04	Deursysteem bouwen [[ButtonCross]]
d11_staffalert_tooltip_POWER01	Elektrische kabels bouwen [[ButtonCross]]
d11_staffalert_tooltip_POWER02	Stroomvoorziening verhogen [[ButtonCross]]
d11_staffalert_tooltip_PRISONERS02	Bewakers aannemen [[ButtonCross]]
d11_staffalert_tooltip_PRISONERS03	Cellen verbeteren [[ButtonCross]]
d11_staffalert_tooltip_ROOMS01	Vereisten bekijken [[ButtonCross]]
d11_staffalert_tooltip_STAFF01	Personeelskamer bouwen [[ButtonCross]]
d11_staffalert_tooltip_WATER01	Waterleidingen bouwen [[ButtonCross]]
d11_staffalert_urgentsummary_CELLS01	We hebben heel veel ruimte voor extra gevangenen!
d11_staffalert_urgentsummary_CONTRABAND01	De hoeveelheid hulpmiddelen en wapens in je gevangenis is gevaarlijk!
d11_staffalert_urgentsummary_CONTRABAND02	De hoeveelheid beschikbare drugs in je gevangenis is gevaarlijk!
d11_staffalert_urgentsummary_CONTRABAND03	De hoeveelheid smokkelwaar loopt de spuigaten uit!
d11_staffalert_urgentsummary_DEATHROW01	We zouden snel kunnen cashen als we een dodencel aan de gevangenis toevoegden.
d11_staffalert_urgentsummary_DOCTOR01	We moeten artsen aannemen om in onze ziekenboeg te werken!
d11_staffalert_urgentsummary_HOLDINGCELL01	We moeten het aantal gevangenen in onze tijdelijke cellen verminderen!
d11_staffalert_urgentsummary_INFORMANTS01	Een van onze informanten staat op het punt om ontmaskerd te worden. Zijn leven loopt gevaar!
d11_staffalert_urgentsummary_MONEY01	De bodem van onze schatkist is in zicht!
d11_staffalert_urgentsummary_NEEDS01	Ik neem je niet in de zeik! Bouw meer wc's!
d11_staffalert_urgentsummary_NEEDS02	Ben je nou helemaal van de pot...? Bouw meer wc's!
d11_staffalert_urgentsummary_NEEDS03	Hé! Wakker worden! Je gevangenen hebben slaap nodig!
d11_staffalert_urgentsummary_NEEDS04	Doe dat koekje terug! Onze gevangenen sterven van de honger!
d11_staffalert_urgentsummary_NEEDS05	Wees niet zo hardvochtig... je moet contact met familie toestaan!
d11_staffalert_urgentsummary_NEEDS06	Getver! Onze gevangenis is walgelijk.
d11_staffalert_urgentsummary_NEEDS07	Onze gevangenen voelen zich hier niet veilig. Doe er iets aan!
d11_staffalert_urgentsummary_NEEDS08	Jakkes, onze gevangenen zijn ronduit smerig.
d11_staffalert_urgentsummary_NEEDS09	O nee, onze gevangenen hebben veel gezondheidsklachten.
d11_staffalert_urgentsummary_NEEDS10	Onze gevangenen vervelen zich dood!
d11_staffalert_urgentsummary_NEEDS11	Kom op zeg, ze willen alleen maar ergens kunnen zitten.
d11_staffalert_urgentsummary_NEEDS12	Onze gevangenen worden kwaad. Het zijn dan echt geen lieverdjes meer.
d11_staffalert_urgentsummary_NEEDS13	Het zijn geen robots. Ze hebben vrije tijd nodig om ze op de been te houden!
d11_staffalert_urgentsummary_NEEDS14	Mijn hemel! Onze gevangenis zit vol landlopers!
d11_staffalert_urgentsummary_NEEDS15	Er zijn veel te veel gevangenen verslaafd aan drugs. We moeten er iets aan doen!
d11_staffalert_urgentsummary_NEEDS16	Onze gevangenen hebben een ernstig drankprobleem!
d11_staffalert_urgentsummary_NEEDS18	Onze gevangenen eisen spirituele begeleiding.
d11_staffalert_urgentsummary_NEEDS19	We moeten een kamer maken voor gevangenen die niet goed kunnen lesen.
d11_staffalert_urgentsummary_OBJECTS01	Als er brand uitbreekt, zijn we zwaar de klos!
d11_staffalert_urgentsummary_OBJECTS02	We moeten echt wat prullenbakken kopen!
d11_staffalert_urgentsummary_OBJECTS03	We moeten echt meer bewakingscamera's installeren!
d11_staffalert_urgentsummary_OBJECTS04	Het is hoog tijd dat we efficiënter gaan werken en een deursysteem installeren!
d11_staffalert_urgentsummary_POWER01	Sommige delen van de gevangenis zitten nog steeds zonder stroom!
d11_staffalert_urgentsummary_POWER02	Je krachtcentrale is zwaar overbelast!
d11_staffalert_urgentsummary_PRISONERS02	Onze bewakers zijn in de minderheid. Neem er meer aan!
d11_staffalert_urgentsummary_PRISONERS03	De algemene kwaliteit van onze cellen moet zo snel mogelijk worden verbeterd!
d11_staffalert_urgentsummary_ROOMS01	Sommige kamers zijn nog steeds onbruikbaar!
d11_staffalert_urgentsummary_STAFF01	Je werknemers zijn bekaf, je moet ze helpen!
d11_staffalert_urgentsummary_WATER01	Sommige delen van de gevangenis zitten nog steeds zonder water!

d11_staffalert_summary_BasicFarming03	In tegenstelling tot gewassen leveren fruitbomen constant fruit op. Deze bomen hoeven dus niet na elke oogst te worden vervangen.
d11_ingredients_crops_per_day_tooltip	Het aantal gewassen dat in de afgelopen 24 uur gekocht is.
buildtoolbar_popup_mat_grasscornerfloor	Een grashoek met modder. Handig voor bochten in een pad.
buildtoolbar_popup_mat_grasscornerfloor1	Een grashoek met modder. Handig voor bochten in een pad.
buildtoolbar_popup_mat_grasscornerfloor2	Een grashoek met modder. Handig voor bochten in een pad.
buildtoolbar_popup_mat_grasscornerfloor3	Een grashoek met modder. Handig voor bochten in een pad.
buildtoolbar_Logistics_CropDistribution	Geef aan naar welke kamers geoogste gewassen verplaatst moeten worden. Via het scherm Distributie beheren kun je ook de distributiepercentages aanpassen.
d11_hover_alert_water	Heeft water nodig
d11_hover_alert_electricity	Heeft elektriciteit nodig
interfacemode_objectPack_filter_caption	Filtert het aantal weergegeven voorwerpen, gebaseerd op het bijbehorende uitbreidingspakket.
interfacemode_objectType_filter_caption	Filtert het aantal weergegeven voorwerpen, gebaseerd op het type voorwerpen.
d11_powerstation_overloaded_two_stations	Overbelast, krachtcentrales mogen niet met elkaar verbonden worden
buildtoolbar_deployment_PrioritizeFarmer	Gebruik deze optie om te zorgen dat boeren prioriteit geven aan bepaalde gebieden in je gevangenis. Als je personeel tekort komt, zullen boeren je prioriteitsgebieden eerst behandelen. Je kunt 1, 2 of 3 boeren toewijzen aan een prioriteitsgebied.
interfacetopbar_tooltip_totalFarmers	Totaal aantal boeren: *X
interfacetopbar_tooltip_farmer	Het aantal boeren dat in je gevangenis werkt.
d11_farm_search_target_option_everything	Alles
interface_action_searchRoom	Doorzoek kamer
mutator_name_Noir	Noir
mutator_tooltip_Noir	Een donker en groezelig filter dat de meeste kleur uit je gevangenis verwijdert.
mutator_name_RoofView	Dakzicht
mutator_tooltip_RoofView	Past een effect toe vergelijkbaar met in nevel gehuld, maar toont het dak van gebouwen in gebieden met slecht zicht in plaats van de 'nevel'.
job_group_hovering_expand	Klik om soortgelijke taken uit te klappen
job_group_hovering_collapse	Klik om soortgelijke taken in te klappen
d11_hover_quantity	x *X
d11_farm_search_freq_option_never	Nooit
codex_options_staffalertscaption	Personeelsmeldingen
report_policy_categoryTooltip_PrisonerTransfer	LEGENDARISCH
roomgrading_has_pa_system	[*X] heeft omroepsysteem in celblok
dlc_insane	Psych Ward: Warden's Edition
buildtoolbar_popup_mat_Water	Leg beken, rivieren en andere onbegaanbare watergebieden aan.
interfacecallout_AirSoldiers	Luchtmachtsoldaten
object_walkwaystairs	Loopbrugtrappen (wordt aan gewerkt)
buildtoolbar_popup_obj_walkwaystairs	Plaats naast een verhoogde loopbrug (muurloopbrug) zodat bewakers toegang hebben tot loopbruggen en van bovenaf kunnen patrouilleren.
buildtoolbar_popup_mat_PerimeterWall	Waterleidingen kunnen er niet onder worden gebouwd.
d11_farm_search_target_caption	Doel boerderij doorzoeken
report_target_rewards	[Beloningen]
report_target_progress	[Voortgang]
grant_property_Active	Inschakelen
reform_program_and	en
objective_intake_closedriot	Opname niet beschikbaar tijdens gevangenisrellen
reputation_swimmer_high	Zwemmer
uniform_color_1	Grijs
uniform_color_2	Oranje
uniform_color_3	Rood
uniform_color_4	Geel
uniform_color_5	Kastanjebruin
uniform_color_6	Zwart
uniform_color_7	Wit
uniform_color_9	Roze
uniform_color_10	Bruin
uniform_color_11	Groen
uniform_color_12	Blauw
uniform_color_13	Lichtblauw
uniform_color_14	Zalmroze
uniform_color_15	Lichtpaars
uniform_color_16	Paars
uniform_color_17	Limoengroen
uniform_color_18	Felroze
uniform_color_19	Aquamarijn
uniform_color_20	Metaalgrijs
uniform_color_21	Zand
uniform_color_22	Wijnrood
uniform_color_23	Slijk
uniform_color_24	Zuur
uniform_color_25	Storm
uniform_color_26	Violet
uniform_color_27	Vuil
uniform_color_28	Staal
uniform_color_29	Lila
uniform_color_30	Gebroken wit
uniform_color_31	Oceaan
uniform_color_32	Pap
object_TherapyAnimal	Therapiedier
object_TherapyAnimalContainer	Therapiediercontainer
object_AnimalTherapist	Dierentherapeut
object_RestaurantCustomer	Burgerklant
object_DisplayCounter	Vitrine
object_RehabilitatedPrisoner	Hervormde gevangene
object_Oven	Oven
object_DoughMixer	Deegmixer
object_Dough	Deeg
object_BreadLoaf	Brood
object_BreadBun	Witte bol
object_Cake	Taart
object_Cupcake	Cupcake
object_Baguette	Stokbrood
object_CivilianChild	Delinquent
object_RestaurantMeal	Restaurantmaaltijd
object_RestaurantIngredientsCooking	Restaurantmaaltijd (wordt gekookt)
object_RestaurantPlateDirty	Bord (vies)
object_CakeStand	Taartstandaard
object_GrassBridge	Grasviaduct
object_DiningTableLarge	Eettafel (groot)
object_DiningTableSmall	Eettafel (klein)
object_DinerBooth	Dinerhokje
object_DiningChair	Eetstoel
object_SaloonDoor	Saloondeuren (dubbel)
object_OrnateLantern	Sierlijke lantaarn
object_Chandelier	Kroonluchter
object_WallPanel	Muurpaneel (rood)
object_WallPanelWood	Muurpaneel (hout)
object_WallPanelStone	Muurpaneel (steen)
object_WallPanelCorner_A	Muurpaneel hoek type A (rood)
object_WallPanelWoodCorner_A	Muurpaneel hoek type A (hout)
object_WallPanelStoneCorner_A	Muurpaneel hoek type A (steen)
object_WallPanelCorner_B	Muurpaneel hoek type B (rood)
object_WallPanelWoodCorner_B	Muurpaneel hoek type B (hout)
object_WallPanelStoneCorner_B	Muurpaneel hoek type B (steen)
object_ShopCounter	Toonbank
object_NoEntrySign	Bord (verboden toegang)
object_GymSign	Bord (sportzaal)
object_PhoneSign	Bord (telefoon)
object_RestaurantSign	Bord (restaurant)
object_BakerySign	Bord (bakkerij)
object_VisitationSign	Bord (bezoek)
object_BakeryRawProduct	Rauw bakkerijproduct
object_BakeryCookedProduct	Gebakken bakkerijproduct
object_Flour	Bloem
buildtoolbar_popup_obj_DisplayCounter	Een eenheid om gebakken goederen in te bewaren.
buildtoolbar_popup_obj_Oven	Een gespecialiseerd kooktoestel dat gebruikt wordt om gebakken goederen te maken.
buildtoolbar_popup_obj_DoughMixer	Verandert bloem (en andere verborgen ingrediënten) in deeg voor gebakken goederen.
buildtoolbar_popup_obj_CakeStand	Een vitrine om heerlijke zoetigheden tentoon te stellen
buildtoolbar_popup_obj_GrassBridge	Een met gras bedekte brug waarmee men veilig wegen kan oversteken.
buildtoolbar_popup_obj_DiningTableLarge	Een tafel van hoge kwaliteit die elke maaltijd wat meer klasse geeft.
buildtoolbar_popup_obj_DiningTableSmall	Een tafel van hoge kwaliteit die elke maaltijd wat meer klasse geeft.
buildtoolbar_popup_obj_DinerBooth	Een zitplaats in de stijl van klassieke Amerikaanse diners.
buildtoolbar_popup_obj_DiningChair	Een stoel van hoge kwaliteit die elke maaltijd wat meer klasse geeft.
buildtoolbar_popup_obj_SaloonDoor	Dubbele houten deuren in de stijl van een oude saloon.
buildtoolbar_popup_obj_OrnateLantern	Een muurlantaarn van hoge kwaliteit die elke ruimte wat meer klasse geeft.
buildtoolbar_popup_obj_Chandelier	Een plafondlamp van hoge kwaliteit die elke ruimte wat meer klasse geeft.
buildtoolbar_popup_obj_NoEntrySign	Een bord met een verboden-toegang-symbool.
buildtoolbar_popup_obj_GymSign	Een bord met een sportzaalsymbool.
buildtoolbar_popup_obj_PhoneSign	Een bord met een telefoonsymbool.
buildtoolbar_popup_obj_RestaurantSign	Een bord met een restaurantsymbool.
buildtoolbar_popup_obj_BakerySign	Een bord met een bakkerijsymbool.
buildtoolbar_popup_obj_VisitationSign	Een bord met een bezoeksymbool.
buildtoolbar_popup_obj_WallPanel	Korte afzonderlijke muurpanelen die gebruikt worden om gebieden op te splitsen zonder kamertegels te verwijderen.
buildtoolbar_popup_obj_WallPanelWood	Korte afzonderlijke muurpanelen die gebruikt worden om gebieden op te splitsen zonder kamertegels te verwijderen.
buildtoolbar_popup_obj_WallPanelStone	Korte afzonderlijke muurpanelen die gebruikt worden om gebieden op te splitsen zonder kamertegels te verwijderen.
buildtoolbar_popup_obj_WallPanelCorner_A	Afzonderlijke hoekstukken voor muurpanelen, die gebruikt worden om gebieden op te splitsen zonder kamertegels te verwijderen.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Afzonderlijke hoekstukken voor muurpanelen, die gebruikt worden om gebieden op te splitsen zonder kamertegels te verwijderen.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Afzonderlijke hoekstukken voor muurpanelen, die gebruikt worden om gebieden op te splitsen zonder kamertegels te verwijderen.
buildtoolbar_popup_obj_WallPanelCorner_B	Afzonderlijke hoekstukken voor muurpanelen, die gebruikt worden om gebieden op te splitsen zonder kamertegels te verwijderen.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Afzonderlijke hoekstukken voor muurpanelen, die gebruikt worden om gebieden op te splitsen zonder kamertegels te verwijderen.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Afzonderlijke hoekstukken voor muurpanelen, die gebruikt worden om gebieden op te splitsen zonder kamertegels te verwijderen.
buildtoolbar_popup_obj_ShopCounter	Een balie voor handelstransacties, waar geen muur voor nodig is.
room_Restaurant	Restaurant
room_Bakery	Bakkerij
room_TherapyRoom	Vergaderruimte
d11_restaurant_work	Restaurant
d11_restaurant_work_desc	Wijs gevangenen toe aan een van je restaurants om eten te koken en aan burgerklanten te serveren. Ze moeten wel werkervaring hebben in koken of klantenservice.
d11_bakery_work	Bakkerij
d11_bakery_work_desc	Wijs gevangenen toe aan een van je bakkerijen om gebakken goederen te maken voor burgerklanten. Ze moeten wel werkervaring hebben in koken of klantenservice.
buildtoolbar_popup_room_TherapyRoom	Een veilige ruimte voor dierentherapiesessies en discussies met voormalige gevangenen.
buildtoolbar_popup_room_Restaurant	Gevangenen die ervaring hebben met koken of klantenservice, kunnen eten bereiden en aan burgerklanten serveren.
buildtoolbar_popup_room_Bakery	Gevangenen die ervaring hebben met koken of klantenservice kunnen brood en taarten bakken om aan burgerklanten te verkopen.
quickbuild_Therapy	Vergaderruimte
quickbuild_Restaurant	Restaurant
quickbuild_Bakery	Bakkerij
quickbuild_Reception	Receptie
reformprogram_AnimalTherapy	Dierentherapie
reformprogram_AnimalTherapy_text	Gevangenen hebben vaak moeite om hun woede of andere negatieve gedachten in bedwang te houden. Door middel van deze sessies en de banden die ermee geschept worden, leren gevangenen hopelijk hoe ze kalm kunnen blijven en situaties kunnen de-escaleren in plaats van over te gaan op geweld.
reformProgram_ConflictResolution	Bemiddelingsprogramma
reformProgram_ReformedPrisonerConsultation	Ex-gevangenenprogramma
reformProgram_ReformedPrisonerConsultation_text	Het idee achter dit programma is om de denkwijze van gevangenen te veranderen door een hervormde ex-gevangene te laten spreken over zijn ervaringen en nieuwe leven.
reformProgram_juvenilecorrection	Drie-overtredingenprogramma
reformProgram_juvenilecorrection_text	Gevangenen die omgaan met 'delinquente' burgers zouden een positief effect moeten hebben op beide groepen, zolang de gevangenen eerst zijn getraind of de juiste hoeveelheid klantenservice-ervaring hebben om met deze 'delinquenten' om te gaan.
reformProgram_socialtraining	Drie-overtredingentraining
reformProgram_socialtraining_text	Gevangenen die omgaan met burgers waar ze geen relatie mee hebben, kan voor velen reden tot zorg zijn. Daarom brengt dit programma ze bij welke handelingen wel en niet oké zijn; daarnaast verhogen ze de klantenservice-ervaring van de gevangene.
reformProgram_RehabilitatedPrisoner_text	Deze ex-gevangene is hervormd tot modelburger, en naast zijn huidige baan neemt hij nu als gevangenisconsultant de tijd om anderen te helpen die moeite hebben met hervormen.
