
campaigncutscene_tooltip 				（按一下以觸發監獄故事的下一章節）
escapesquad_remove_member               移除小組成員
escapesquad_remove_member_tooltip       按一下以將此囚犯從您的小組中移除。
escapesquad_escaped                     已越獄

escapemode_sprint_unlock                \n\n 按住 Shift 鍵解鎖衝刺。沒有打架鬥毆時才能使用衝刺。

escapemode_info_right_click             按滑鼠右鍵
escapemode_info_hold_right_click        按住滑鼠右鍵
escapemode_info_stash                   以藏匿違禁品
escapemode_info_pick_up                 以拿起違禁品
escapemode_info_start_tunnel            以開始挖掘地道
escapemode_info_enter_tunnel            以進入地道
escapemode_info_exit_tunnel             以退出地道
escapemode_info_dig_up                  以挖掘
escapemode_info_steal                   以竊取

escapemode_info_tool                    [挖掘工具]
escapemode_info_damage                  傷害：*D
escapemode_info_recharge                充電時間：*T

escapemode_gameover                     遊戲結束
escapemode_gameover_squad_title         小組
escapemode_gameover_casualties_title    受害者
escapemode_gameover_totalscore_title    總得分
escapemode_gameover_totaltime_title     用時
escapemode_gameover_time_days           *D 天 *H 小時 *M 分鐘
escapemode_gameover_time                *H 小時 *M 分鐘

codex_workshop_select_random_prison     隨機車間監獄
codex_workshop_searching                正在搜查


# =============================================================================
# Warden Mode
# =============================================================================

codex_wardenmode_debugstart             啟動典獄長模式

buildtoolbar_inventory                  物品清單
buildtoolbar_tooltip_inventory          快速鍵：(TAB)\n\n管理典獄長的物品清單和私人護衛隊。

wardenmode_combat                       允許自我防衛
wardenmode_combat_caption               你現在可以對抗暴力的囚犯

wardenmode_combatwarning                不允許自我防衛
wardenmode_combatwarning_caption        除非是出於自衛，你不可傷害囚犯

wardenmode_info_pick_up                 撿起

wardensquad_wardenprotection            典獄長保護
wardensquad_recruitment_cost            每日花費：+$*C
wardensquad_nameplate_following         跟隨
wardensquad_remove_member               移除典獄長保護
wardensquad_remove_member_tooltip       按一下以將這個警衛從你的私人護衛隊移除。\n這能為你每天省下 $*C 元。


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         遊戲聖經
codex_gamebible_next                    >
codex_gamebible_prev                    <
codex_gamebible_singlepage              頁碼 *X
codex_gamebible_doublepage              頁碼 *X - *Y
object_collectable                      筆記本頁面

