# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新記錄
buildtoolbar_popup_uts_PowerExportMeter	能夠將儲存的電能送回至電網以獲取經濟效益的設備，此設備必須透過電線連接到接有電池的變電器才能正常運轉。
d11_continuous_fertilizer_tooltip	選擇是否需要自動購買肥料及肥料品質等級。
d11_crop_types_tooltip	選擇自動購買自然農作物還是基因轉殖農作物。基因轉殖農作物的生長時間將縮短 50%，但等量農作物的外銷價格也較低，同時囚犯在食用時也不會產生需求增長。
d11_farm_search_freq_tooltip	由於農業房不在搜查範圍內，請使用此選項決定是否將農業房包含在日常搜查範圍內。
d11_farm_search_target_tooltip	由於農業房不在搜查範圍內，請使用此選項，透過搜查頻率選項，決定針對哪個道具或實體進行搜查。
d11_continuous_planting_tooltip	啟用此選項後，將在收穫農作物後自動重新種植相同的農作物，與在森林的生長機制類似。
d11_researchhint_l_farming	此研究項目可以解鎖多項農業功能，例如自動化耕種道具、更昂貴的農作物、堆肥垃圾桶和肥料道具、食品儲藏室和立式冰箱，還有獄中勞役工作和農作物分配控制方法。
object_quickconnect	快速連接
objective_GoingGreenInfo_child_1	「邁向綠色」最主要的特色已在下方列出，將滑鼠游標停留在各個小標題上，相關特色的描述和說明就會顯示。
d11_cropDistributionHint	按滑鼠右鍵：管理分配
dlc_name_psychWard	Psych Ward
dlc_name_prisonWing	Cleared For Transfer
dlc_name_seaAirLand	島嶼界限
dlc_name_greenMachine	邁向綠色
interfacemode_objectType_filter_requiresWater	管道系統
interfacemode_objectType_filter_requiresElectricity	電子設施
interfacemode_objectType_filter_entertainment	娛樂設施
interfacemode_objectType_filter_rest	休息
interfacemode_objectType_filter_exercise	鍛煉
interfacemode_objectType_filter_decoration	裝飾
interfacemode_objectType_filter_foliage	植物
interfacemode_objectType_filter_signs	標誌
interfacemode_objectType_filter_security	保安
interfacemode_objectType_filter_catering	看護
interfacemode_objectType_filter_misc	其他
material_SellFlooring	出售地板
object_AdvancedAutoGatherer	高級自動收集器
object_farmer	農民
object_OrganicWaste	有機廢物
object_CompostBin	堆肥垃圾桶
object_DumpObject	丟棄物品
room_flowergarden	花園
buildtoolbar_popup_room_Pantry	儲存所有新鮮種植的蔬果冷藏室，用於儲存所有監獄內生長的食物。
buildtoolbar_popup_mat_ReclaimedWoodWall	利用老舊廢棄物材料搭建而成的木牆。
buildtoolbar_popup_mat_BottleWall	利用老舊廢棄物材料搭建而成的絢麗多彩牆。
buildtoolbar_popup_mat_WhitePicketFence	能為花園遮風避雨，但用來看管囚犯效果有限。
buildtoolbar_popup_mat_ReclaimedBrickFloor	利用老舊廢棄物材料製造的人字紋地磚。
buildtoolbar_popup_mat_ReclaimedRubberFloor	利用老舊廢棄物材料製造的橡膠地磚。
buildtoolbar_popup_obj_Shed	儲存所有種子、工具和其他農業道具的區域。此區域還有可用於初級灌溉的水龍頭。
buildtoolbar_popup_obj_AdvancedAutoGatherer	每 6 小時啟動一次，用於在一片 10x10 的區域內收集和儲存所有食材。
buildtoolbar_popup_obj_CompostBin	用於改造食物和有機廢物，製成可使用的肥料。
buildtoolbar_popup_obj_PinkFlamingo	令人愉悅的經典花園裝飾。
buildtoolbar_popup_obj_BowtieBandit	衣冠楚楚的小夥子。
buildtoolbar_popup_obj_Shepherd	誰是聰明的小女孩！？
buildtoolbar_popup_obj_DumpObject	在監獄內丟棄物品。
buildtoolbar_popup_uts_quickconnect	快速將任何監控系統或自動化系統連接至其最近的接收物品。
contraband_Ingredient	釀酒原料
contraband_Kicker	製酒用發酵水果
contraband_StashLocation	藏匿地點
d11_crop_types_caption	農作物類型
d11_farm_search_freq_option_daily	每日
d11_farm_search_freq_option_3days	每 3 天
d11_farm_search_freq_option_5days	每 5 天
d11_farm_search_freq_option_weekly	每週
d11_farm_search_target_option_crops	僅限農作物
d11_farm_search_target_option_labourers	囚犯勞工
d11_crop_type_option_natural	天然農作物
d11_crop_type_option_GMO	基因轉殖農作物
Ingredients_UsageCaption	比率
researchtooltip_farming	解鎖高級農業技術、設備，以及更昂貴的農作物。
buildtoolbar_quickbuild_flowerGarden	為囚犯提供的安靜休憩區。
buildtoolbar_quickbuild_grove	為土地增添生機的樹林。
buildtoolbar_quickbuild_hedgeMaze	使用樹籬搭建的初級迷宮，可供囚犯進行探索。
buildtoolbar_quickbuild_yard	標準庭院，內有囚犯可能需要的任何東西。
objective_target_ExportPower1	綠色能源目標 3
objective_target_ExportPower1_description	將電能外銷限額提升至 1,000 單位。
objective_target_ExportPower1_task	外銷 1,000 單位電能。
objective_target_ExportPower1_reward	已完成綠色能源目標 3。
objective_target_ExportPower1_reward_text	已將電能外銷限額提升至 1,000 單位
objective_target_ExportPower2	綠色能源目標 4
objective_target_ExportPower2_description	將電能外銷限額提升至 2,500 單位。
objective_target_ExportPower2_task	外銷 2,500 單位電能。
objective_target_ExportPower2_reward	已完成綠色能源目標 4。
objective_target_ExportPower2_reward_text	已將電能外銷限額提升至 2,500 單位
objective_target_ExportPower3	綠色能源目標 5
objective_target_ExportPower3_description	將電能外銷限額提升至 5,000 單位。
objective_target_ExportPower3_task	外銷 5,000 單位電能。
objective_target_ExportPower3_reward	已完成綠色能源目標 5。
objective_target_ExportPower3_reward_text	已將電能外銷限額提升至 5,000 單位
interface_title_targets	綠色能源目標
objective_HelpGreenEnergy_child_3_description	由於原始綠色能源屬性不同，每個綠色能源必須透過電纜連接至變電器，之後才可輸出為供電器使用的電能。\n\n變電器本身不僅可以將原始綠色能源轉換為可供使用的能源，還能為相鄰的電池充電。\n\n儲存在電池道具內的能源可在緊急狀況下使用，還可當作新的外銷商品外銷電能測量儀。
objective_HelpGreenEnergy_child_5_description	可在補助功能表中查看一些關於綠色能源的目標。通過完成這些目標，你可獲取以下獎勵：\n\n- 提高每日電能外銷上限\n- 解鎖其他電源\n- 改善任何已購買的綠色能源效能。
objective_HelpNarcoticProduction_child_2_description	另一方面，制毒只能在農田中進行，囚犯會嘗試破壞現有的農作物，從而藏匿可生長的毒品植株。\n\n這些遭到破壞的農作物會散發出難聞的味道，因此警犬能察覺到。但這些區域不在搜查範圍內，因此必須手動發起搜查，但每次搜查都機會破壞農作物。\n\n如果正好是由某類符合條件的囚犯收割農作物，收穫的農作物中也會包含麻醉藥。\n\n幫派也能夠控制農田，以確保控制毒品生產線。
objectiveWindow_FilterButton_0_title	任務
objectiveWindow_FilterButton_1_title	邁向綠色
objectiveWindow_FilterButton_0_tooltip	進行中的任務
objectiveWindow_FilterButton_1_tooltip	描述和解釋「邁向綠色」主要特色的一系列資訊
escapemode_info_board	登上渡輪
reports_ingredients_usageTitle	新鮮食材和外來食材使用量比率
objective_HelpEnvironmentallyFriendly	環境友善
object_OxStatue	牛的雕像
object_PaperDragonHead	龍（頭）
object_PaperDragonBody	龍（身）
object_PaperDragonTail	龍（尾）
object_PaperLantern	紙燈籠
object_CoupletBanner	對聯裝飾
buildtoolbar_popup_obj_OxStatue	十二生肖雕像 - 強健的牛
buildtoolbar_popup_obj_PaperDragonHead	龍頭形狀的剪紙
buildtoolbar_popup_obj_PaperDragonBody	龍身形狀的剪紙
buildtoolbar_popup_obj_PaperDragonTail	龍尾形狀的剪紙
buildtoolbar_popup_obj_PaperLantern	為監獄帶來光明的紅燈籠
buildtoolbar_popup_obj_CoupletBanner	貼有春聯的橫幅
object_PinkFlamingo	粉紅火鶴
object_HayBale	乾草堆
object_FlowerPlanterWateringCan	花盆（灑水壺）
object_FlowerPlanterWellies	花盆（雨靴）
object_FlowerPlanterWheelbarrow	花盆（手推車）
object_SmallServingTable	配餐桌（小）
object_TrayDispenser	托盤分發櫃
object_SolarWallLight	壁燈（太陽能）
buildtoolbar_popup_obj_HayBale	沒有什麼比一大堆乾草更具有農場氣息。
buildtoolbar_popup_obj_FlowerPlanterWateringCan	一件簡單的容器，現在改作花盆用。
buildtoolbar_popup_obj_FlowerPlanterWellies	一雙雨靴，現在改作花盆用。
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	為你的戶外區域增添些許色彩。
buildtoolbar_popup_obj_SmallServingTable	用於為囚犯分發食物。
buildtoolbar_popup_obj_TrayDispenser	用來儲存多餘的托盤，最大容量為 200。
buildtoolbar_popup_obj_SolarWallLight	一盞可安裝於牆壁上的太陽能燈，在夜間會自動開啟。
object_FoodTrayPack	托盤組
buildtoolbar_popup_obj_FoodTrayPack	一組 40 個餐盤 - 按兩下或按住即可購買
d11_staffalert_summary_BasicFarming03	和其他農作物不同的是，果樹會持續不斷地產出水果，因此無需在收穫之後將其移除。
d11_ingredients_crops_per_day_tooltip	過去 24 小時內購得農作物的總數。

d11_farm_search_freq_caption	搜索频率
buildtoolbar_popup_mat_grasscornerfloor	帶有泥土的草坪轉角，對於有角度的道路很有用。
buildtoolbar_popup_mat_grasscornerfloor1	帶有泥土的草坪轉角，對於有角度的道路很有用。
buildtoolbar_popup_mat_grasscornerfloor2	帶有泥土的草坪轉角，對於有角度的道路很有用。
buildtoolbar_popup_mat_grasscornerfloor3	帶有泥土的草坪轉角，對於有角度的道路很有用。
buildtoolbar_Logistics_CropDistribution	決定農作物收穫後將會轉移到哪些房間，你也可以透過管理分配視窗變更分配比例。
d11_hover_alert_water	需要水源
d11_hover_alert_electricity	需要電力
interfacemode_objectPack_filter_caption	根據相關擴充套件，篩選顯示的物品數量。
interfacemode_objectType_filter_caption	根據物品類型，篩選顯示的物品數量。
d11_powerstation_overloaded_two_stations	已超載，發電站之間不能相互連接
buildtoolbar_deployment_PrioritizeFarmer	使用此選項，可以優先安排農民在特定區域工作，然後再打理監獄周圍其他區域。如果人手緊缺，農民會優先打理你設定的優先區域。安排 1 名、2 名或 3 名農民優先打理一個區域。
interfacetopbar_tooltip_totalFarmers	共計 *X 名農民
interfacetopbar_tooltip_farmer	監獄中待命的農民數量。
d11_farm_search_target_option_everything	所有事項
interface_action_searchRoom	搜查房間
mutator_name_Noir	黑色空間
mutator_tooltip_Noir	一種暗而髒的濾鏡，能過濾掉監獄內大部分的顏色。
mutator_name_RoofView	屋頂視角
mutator_tooltip_RoofView	套用類似戰爭迷霧的效果，區別是會在能見度較低的區域顯示建築物屋頂，而非「迷霧」。
job_group_hovering_expand	按一下展開相似的工作類型
job_group_hovering_collapse	按一下收合相似的工作類型
d11_hover_quantity	x *X
interfacemode_objectType_filter_all	物品類型：所有類型
d11_farm_search_freq_option_never	從不
objective_HelpGreenEnergy_child_1_description	可使用三種新型綠色能源替換發電站。\n\n風力發電機\n太陽能電池板\n太陽能供電的風力發電機\n遊戲初期只可獲取太陽能電池板。\n\n每個綠色能源的屬性會有些許不同，例如電能輸出量可能有所區別，但與發電站不同的是，這些電源可以相互連接，一排最多 50 個。
objective_HelpNarcoticProduction	製作麻醉藥
objective_HelpNarcoticProduction_child_1_description	滿足特定條件的囚犯能夠自己釀酒。\n\n首先，他們將從農業房、廚房區域或任何能接近的自動販賣機中獲取釀酒原料。\n\n接著，到了晚上，他們會在自己的牢房內用這些原料進行釀制，然後將釀制中的酒儲存幾日以待其發酵。
codex_options_staffalertscaption	工作人警察報
reports_farmingpolicytitle	農業政策
report_policy_categoryTooltip_PrisonerTransfer	傳奇
roomgrading_has_pa_system	[*X] 在牢房區中設有廣播系統
buildtoolbar_popup_mat_Water	建立溪流、河流等無法穿越的水域。
interfacecallout_AirSoldiers	空中戰士
object_walkwaystairs	步道樓梯（建造中）
buildtoolbar_popup_obj_walkwaystairs	在高聳的步道（城牆步道）旁放置，以便警衛前往步道並在上方巡邏。
buildtoolbar_popup_mat_PerimeterWall	無法在下方鋪設水管。
d11_farm_search_target_caption	農場搜尋目標
d11_continuous_fertilizer_caption	持續施肥
Ingredients_UsageCaption_tooltip	控制餐點所使用的監獄自產食材和外部配送食材的比率，如果儲存的食材數量不足，則監獄會訂購食材。
report_target_rewards	[獎勵]
report_target_progress	[進度]
reform_program_and	以及
objective_intake_closedriot	在監獄暴動期間不可收監
reputation_swimmer_high	游泳者
uniform_color_1	灰色
uniform_color_2	橙色
uniform_color_3	紅色
uniform_color_4	黃色
uniform_color_5	栗色
uniform_color_6	黑色
uniform_color_7	白色
uniform_color_9	粉色
uniform_color_10	棕色
uniform_color_11	綠色
uniform_color_12	藍色
uniform_color_13	天空灰
uniform_color_14	橙紅色
uniform_color_15	淺紫色
uniform_color_16	紫色
uniform_color_17	綠黃色
uniform_color_18	亮粉色
uniform_color_19	水族
uniform_color_20	槍金屬
uniform_color_21	砂
uniform_color_22	勃艮第
uniform_color_23	泥漿
uniform_color_24	酸
uniform_color_25	風暴
uniform_color_26	紫色
uniform_color_27	污垢
uniform_color_28	鋼
uniform_color_29	紫丁香
uniform_color_30	蛋殼
uniform_color_31	海洋
uniform_color_32	粥
causeofdeath_exposure	凍死
needs_help_staffwarmth	员工需要保持温暖，在您的监狱中放上暖氣讓他們舒适
codex_options_enableturbomode	启用加速模式
object_TherapyAnimal	提供治療的動物
object_TherapyAnimalContainer	提供治療的動物籠子
object_AnimalTherapist	動物治療師
object_RestaurantCustomer	平民顧客
object_DisplayCounter	展示櫃
object_RehabilitatedPrisoner	已改造的囚犯
object_Oven	烤箱
object_DoughMixer	揉面機
object_Dough	麵團
object_BreadLoaf	長麵包
object_BreadBun	圓麵包
object_Cake	蛋糕
object_Cupcake	紙杯蛋糕
object_Baguette	法國麵包
object_CivilianChild	潛在犯罪者
object_RestaurantMeal	餐廳食物
object_RestaurantIngredientsCooking	餐廳食物（烹飪用）
object_RestaurantPlateDirty	盤子（髒）
object_CakeStand	蛋糕架
object_GrassBridge	被草覆蓋的道路橋
object_DiningTableLarge	餐桌（大型）
object_DiningTableSmall	餐桌（小型）
object_DinerBooth	餐廳座椅
object_DiningChair	餐椅
object_SaloonDoor	沙龍大門（雙開）
object_OrnateLantern	景觀燈
object_Chandelier	吊燈
object_WallPanel	牆板（紅色）
object_WallPanelWood	牆板（木質）
object_WallPanelStone	牆板（石質）
object_WallPanelCorner_A	A 型牆板角件（紅色）
object_WallPanelWoodCorner_A	A 型牆板角件（木質）
object_WallPanelStoneCorner_A	A 型牆板角件（石質）
object_WallPanelCorner_B	B 型牆板角件（紅色）
object_WallPanelWoodCorner_B	B 型牆板角件（木質）
object_WallPanelStoneCorner_B	B 型牆板角件（石質）
object_ShopCounter	商店櫃檯
object_NoEntrySign	標誌（不准進入）
object_GymSign	標誌（體育館）
object_PhoneSign	標誌（電話）
object_RestaurantSign	標誌（餐廳）
object_BakerySign	標誌（麵包坊）
object_VisitationSign	標誌（探視）
object_BakeryRawProduct	烘焙產品原料
object_BakeryCookedProduct	烘焙產品
object_Flour	麵粉
buildtoolbar_popup_obj_DisplayCounter	一個用來盛放烘焙食品的餐盤。
buildtoolbar_popup_obj_Oven	一個用於烹飪烘焙食物的專用烹飪設備。
buildtoolbar_popup_obj_DoughMixer	將麵粉（和其他隱藏的配料）做成麵團，製成烘焙食品。
buildtoolbar_popup_obj_CakeStand	一個展示美味甜點的展示架
buildtoolbar_popup_obj_GrassBridge	一座鋪滿草的橋，可以安全地通過道路。
buildtoolbar_popup_obj_DiningTableLarge	一張高品質的餐桌，可以提高用餐檔次。
buildtoolbar_popup_obj_DiningTableSmall	一張高品質的餐桌，可以提高用餐檔次。
buildtoolbar_popup_obj_DinerBooth	一個經典美國餐廳風格且帶座位的小攤。
buildtoolbar_popup_obj_DiningChair	一把高品質的椅子，可以提高用餐檔次。
buildtoolbar_popup_obj_SaloonDoor	老式沙龍風格的雙開木門
buildtoolbar_popup_obj_OrnateLantern	一盞高品質的壁燈，可以提高該區域的檔次。
buildtoolbar_popup_obj_Chandelier	一盞高品質的吊燈，可以提高該區域的檔次。
buildtoolbar_popup_obj_NoEntrySign	一個帶有不準進入標識的牆標。
buildtoolbar_popup_obj_GymSign	一個帶有體育館標識的牆標。
buildtoolbar_popup_obj_PhoneSign	一個帶有電話標識的牆標。
buildtoolbar_popup_obj_RestaurantSign	一個帶有餐廳標識的牆標。
buildtoolbar_popup_obj_BakerySign	一個帶有麵包坊標識的牆標。
buildtoolbar_popup_obj_VisitationSign	一個帶有探視標識的牆標。
buildtoolbar_popup_obj_WallPanel	短的獨立牆板，無需清除屋內瓷磚就能創造隔離區域。
buildtoolbar_popup_obj_WallPanelWood	短的獨立牆板，無需清除屋內瓷磚就能創造隔離區域。
buildtoolbar_popup_obj_WallPanelStone	短的獨立牆板，無需清除屋內瓷磚就能創造隔離區域。
buildtoolbar_popup_obj_WallPanelCorner_A	牆板的獨立角件，無需清除屋內瓷磚就能創造隔離區域。
buildtoolbar_popup_obj_WallPanelWoodCorner_A	牆板的獨立角件，無需清除屋內瓷磚就能創造隔離區域。
buildtoolbar_popup_obj_WallPanelStoneCorner_A	牆板的獨立角件，無需清除屋內瓷磚就能創造隔離區域。
buildtoolbar_popup_obj_WallPanelCorner_B	牆板的獨立角件，無需清除屋內瓷磚就能創造隔離區域。
buildtoolbar_popup_obj_WallPanelWoodCorner_B	牆板的獨立角件，無需清除屋內瓷磚就能創造隔離區域。
buildtoolbar_popup_obj_WallPanelStoneCorner_B	牆板的獨立角件，無需清除屋內瓷磚就能創造隔離區域。
buildtoolbar_popup_obj_ShopCounter	一個用於商品交易的櫃檯，不需要靠牆放置。
room_Restaurant	餐廳
room_Bakery	麵包坊
room_TherapyRoom	會客室
d11_restaurant_work	餐廳
d11_restaurant_work_desc	指派囚犯在我們的餐廳工作，為平民顧客烹飪食物和提供上菜服務。但是他們必須要有烹飪或顧客服務方面的工作經驗。
d11_bakery_work	麵包坊
d11_bakery_work_desc	指派囚犯在我們的麵包坊工作，為平民顧客烹飪烘焙食物。但是他們必須要有烹飪或顧客服務方面的工作經驗。
buildtoolbar_popup_room_TherapyRoom	一個「安全空間」，供動物療法課程以及與已釋放人員交流使用。
buildtoolbar_popup_room_Restaurant	有烹飪或服務生經驗的囚犯可以為平民顧客烹飪食物或負責上菜。
buildtoolbar_popup_room_Bakery	有烹飪或服務生經驗的囚犯可以烤制麵包和蛋糕，賣給平民顧客。
quickbuild_Therapy	會客室
quickbuild_Restaurant	餐廳
quickbuild_Bakery	麵包坊
quickbuild_Reception	接待室
reformprogram_AnimalTherapy	動物療法
reformprogram_AnimalTherapy_text	囚犯通常很難控制自己的脾氣或其他負面想法。透過這個課程讓他們與動物建立一種紐帶關係，希望囚犯能學會如何保持冷靜，並在事態升級前學會克制自己。
reformProgram_ConflictResolution	衝突解決
reformProgram_ReformedPrisonerConsultation	已改造囚犯顧問
reformProgram_ReformedPrisonerConsultation_text	這個課程的理念是讓一個已經改過自新的人員講述他的經歷和新生活，從而改變被關押之囚犯的觀念。
reformProgram_juvenilecorrection	三振出局課程
reformProgram_juvenilecorrection_text	只要囚犯接受過培訓或能得體地服務顧客，就可以與那些有潛在犯罪傾向的平民交流，這樣的交流對雙方都有積極的影響。
reformProgram_socialtraining	三振出局培訓
reformProgram_socialtraining_text	允許囚犯與無關的平民進行交流可能會讓很多人擔憂，但這個課程會教導囚犯哪些行為是允許的，哪些是不允許的；同時也增加了囚犯的顧客服務經驗。
reformProgram_RehabilitatedPrisoner_text	這名已出獄的囚犯已經改過自新，成為了一名模範公民。除了目前的職業，他還是一名監獄顧問，利用自己的時間來幫助那些正在努力改造的囚犯。
reformProgram_Occupation	工作場所：
report_Sentences	刑期調整
sentences_tooltip_onOff	切換此選項以啟用或停用刑期調整開/關。
sentences_tooltip_resetCriteria	將調整標準重設為監獄的建議值。
sentences_tooltip_extensionValue	一旦囚犯符合刑期延長的標準，選擇刑期將被延長的時間。
sentences_tooltip_reductionValue	一旦囚犯符合減刑的標準，選擇減刑的時間。
sentences_description	設定調整囚犯刑期的標準，無論是因表現良好而減刑，還是因表現不良而延長刑期。\n延期和減刑都可以在一週內進行，但兩種類型的調整之後都有 7 天的冷靜期。
sentences_unavailable	不適用
reduction_caption	減刑值
extension_caption	刑期延長值
adjustment_criteria	調整標準
goodBehaviour_DaysInLabour	勞役天數
goodBehaviour_LoweredRate	降低再犯罪率
sentences_resetCriteria	重設標準
misconduct_tooltip_InjuredStaff	囚犯攻擊任何員工達到指定次數，延長刑期。
misconduct_tooltip_InjuredPrisoner	囚犯攻擊其他囚犯達到指定次數，延長刑期。
misconduct_tooltip_SeriousInjury	囚犯造成嚴重傷害達到指定次數，延長刑期。
misconduct_tooltip_Murder	囚犯在監獄內犯下謀殺罪達到指定次數，延長刑期。
misconduct_tooltip_EscapeAttempt	囚犯企圖越獄達到指定次數，延長刑期。
goodBehaviour_tooltip_NoIncident	囚犯無事故報告達到指定天數可獲減刑。
goodBehaviour_tooltip_ProgramsPassed	囚犯通過一定量的課程，可獲減刑。
goodBehaviour_tooltip_DaysInLabour	囚犯連續參加獄中勞役達到指定天數可獲減刑。
goodBehaviour_tooltip_LoweredRate	囚犯再犯罪率降低到指定值可獲減刑。
sentences_tooltip_criteriaMet	調整這個值，以決定囚犯必須符合什麼標準才能調整其刑期。
work_and_education	工作和培訓
d11_work_experience	工作經驗
experience_WorkCook	烹飪經驗
experience_WorkCleaner	清潔經驗
experience_WorkCraftsman	工匠經驗
experience_WorkLabourer	勞役經驗
experience_WorkRCS	顧客服務經驗
experience_WorkReform	完成該課程可以增加囚犯在*X領域 50% 的工作經驗。
experience_WorkCook_desc	在該領域有 50% 經驗的囚犯可以直接在廚房、餐廳或麵包坊工作。更多的經驗也能提高他們在相關工作中的效率。
experience_WorkCleaner_desc	有相關經驗的囚犯可以提高清潔工作的效率。
experience_WorkCraftsman_desc	在該領域有 50% 經驗的囚犯可以直接在作坊工作。更多的經驗也能提高他們的工作效率。
experience_WorkLabourer_desc	有相關經驗的囚犯可以提高體力勞動工作的效率。
experience_WorkRCS_desc	在該領域有 50% 經驗的囚犯可以直接參加三振出局課程和服務工作，更多的經驗也能提高他們為顧客服務的工作效率。
d11_cleaner	清潔工
d11_craftsman	工匠
d11_labourer	勞工
d11_RACS	顧客服務
experiencefactor_FactorWorkExperience	有 *X% 總工作經驗
d11_reform_average_reoffending_rate_x_days	平均再犯罪率（-*X 天）
d11_reform_average_punishment_grade	平均懲罰等級
d11_reform_average_health_grade	平均健康等級
d11_reform_average_security_grade	平均安全等級
d11_reform_average_exp_grade	平均工作經驗等級
d11_reform_average_reform_grade	平均改造等級
d11_reform_progrom_live	居住改造課程
d11_reform_program_places	改造課程場所數
d11_reform_program_attendance	改造課程出勤人數
d11_reform_program_pass_rate	改造課程通過率
d11_reform_released_prisoners_design_info	囚犯從你的監獄被釋放後，你可以查看他們出獄後的動向，如果他們再犯罪或改過自新並成功找到工作，你的監獄會分別受到處罰或獎勵。
d11_reform_prisoners_action_reformed	已改造！
d11_reform_prisoners_action_reoffended	再次犯罪！
d11_reform_prisoners_action_reoffended_returned	*X 被送回了你的監獄。
d11_reform_prisoners_outcome_reformed	他們在鎮上的*X找到了工作。
d11_reform_prisoners_outcome_reoffended	他們被逮捕了，並會被送回監獄。
d11_reform_prisoners_outcome_reoffended_returned	請注意，囚犯服刑時間越長就會變得越危險。
d11_reform_reformed_prisoner_rewards	已改造囚犯獎金（昨天）
d11_reform_reformed_reoffending_prisoner_fines	再犯罪監獄罰金（昨天）
d11_reform_reoffending_stats_title	再犯罪率統計
d11_reform_initial_reoffending_chance	初始再犯罪率：
d11_reform_current_reoffending_chance	目前再犯罪率：
d11_reform_reoffending_chance_delta	再犯罪率變更：
d11_reform_job_outcome_cook	餐廳
d11_reform_job_outcome_cleaner	清潔公司
d11_reform_job_outcome_craftsman	工廠
d11_reform_job_outcome_labourer	建築公司
d11_reform_job_outcome_RAC	購物中心
d11_reform_job_outcome_default	郵局
d11_reform_required_reoffending_rate_title	假釋資格門檻：
d11_reform_no_prisoners_found	未發現囚犯！
d11_all_prisoner_wages	所有囚犯的工資
d11_report_policy_wage_hint	更高的工資會激勵囚犯參加獄中勞役和工作相關的課程。
d11_wage	工資
d11_adjust_wage_description	囚犯在監獄裡面參加工作就會得到工資。工資可以單獨調整，也可以根據工作類型整體調整。由於工作所需要的培訓量不同，因此掌握更強技能的囚犯有機會得到更高的工資（按小時計）。
d11_intake_arrival_caption	新囚犯到達時間
d11_intake_arrival_tooltip	新囚犯到達監獄的標準時間是早上 8 點，該選項可以根據監獄的需要設定時間。
d11_intake_restrictions_caption	移除囚犯收監限制
d11_intake_restrictions_tooltip	監獄騷亂或員工罷工等棘手事件通常會阻礙囚犯的收監，直到下一次囚犯收監日期的到來。只要收監囚犯的場地未被佔用，那麼這個選項允許囚犯無論在何種情況下都會被送到你的監獄。
rapsheet_stint	再犯罪入獄次數
reform_reward	囚犯改造獎勵
help_warning_prisonerreleased	改造課程是囚犯成功重新融入社會的關鍵。一些囚犯會浪子回頭，開始新的生活，而另一些則會重蹈覆轍，再次犯罪。你會因囚犯改過自新得到額外的現金獎勵，但一些再犯罪的囚犯可能會回到你的監獄。你不僅會因為他們的改造失敗而被罰款，而且他們也可能在外面染上了更多惡習。
finances_category_reformed	改造完成的囚犯
finances_category_reoffended	再犯罪罰款
finances_category_prisonerbonus	囚犯津貼
d11_labour_management	勞役管理
d11_LabourManagementDescription	這個功能表可以控制在這裡工作的囚犯、勞動時間以及快速部署警衛等選項。
d11_HighestSecurityLevel	最高安全級別
d11_LabourManagement_RegimeActivity_hint	在工作時間、自由時間或兩者之間，選擇客戶可以光臨時段。
d11_LabourManagement_HighestSecurityLevel_hint	重刑犯可以在這裡工作，但不能越過該房間的安全區域。
d11_LabourManagement_GuardDeployment_hint	有平民在場的情況下，在該區域快速分配警衛的方法。
d11_dollar_per_hour	$*X/小時
d11_incomplete	未完成
d11_restaurant_payment_desc	平民交易額
finances_category_civilian_commerce	平民交易額
d11_mealquality	飯菜品質
policy_staff_keys	允許員工攜帶鑰匙
d11_report_policy_staffKeys_hint	如果啟用，所有員工都會攜帶鑰匙。\n這個選項會提高監獄的效率，\n但因為有更多的鑰匙在外流動，同時也會增加額外的安全風險。
codex_new_uniformColour	制服顏色：
codex_new_defaultColour	預設顏色：
objectiveWindow_FilterButton_2_title	關於改過自新
objectiveWindow_FilterButton_2_toolTip	全新的改過自新 DLC 説明和資訊。
objective_WorkCredentials	工作證明
objective_WorkCredentials_child_1	囚犯原有的工作證明
objective_WorkCredentials_child_1_Description	在入獄之前，即使是重刑犯也會因以前的職業而具有一定的經驗。有某一領域背景的囚犯不需要參加相應的培訓課程，可直接參加與他們的經驗相關的工作。
objective_WorkCredentials_child_2	工作證明對囚犯的影響
objective_WorkCredentials_child_2_Description	獲得某些工作證明可以贏得某些聲譽，即使沒有通過培訓課程，在某些情況下也可以不需要培訓。\n\n廚師可透過獲得搏擊能手和結交廣泛的聲譽跳過廚房安全培訓。\n\n清潔工可以獲得敏捷和潔癖的聲譽。\n\n工匠可透過獲得工作狂和搏擊能手的聲譽跳過工坊培訓。\n\n勞工可以獲得強壯和耐操的聲譽。\n\n顧客服務人員可透過獲得教唆犯和傳教士的聲譽跳過社會工作/課程的培訓。
objective_WorkExperience	工作經驗
objective_WorkExperience_child_2_Description	囚犯可透過 3 種途徑獲得工作經驗：\n\n培訓課程，囚犯從 3 個培訓課程（作坊安全、廚房安全或三振出局培訓）中選擇 1 個完成，即可在相應領域（烹飪、工匠、顧客服務）獲得 50% 的經驗。\n\n原有的工作證明，囚犯可能在入獄前就已經擁有相關領域的工作經驗。\n\n獄中勞役，任何參加勞役工作的囚犯都會獲得相關領域的工作經驗。
objective_NewRooms	全新房間
objective_NewRooms_child_4_Description	麵包坊為囚犯提供獲得已有和新型違禁品的機會。由於可能有大量的囚犯和平民在場，在某些情況下，囚犯有可能變成暴力分子。
objective_NewRooms_child_8_Description	餐廳為囚犯提供獲得已有和新型違禁品的機會。由於可能有大量的囚犯和平民在場，在某些情況下，囚犯有可能變成暴力分子。
objective_ScaredStraight	三振出局課程
