
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Нова игра
needs_help_environment                  Затворниците мразят да живеят в мръсотия, а когато много затворници използват едни и същи съоръжения, бързо става голям безпорядък. Наемете чистачи или възложете на затворници да изпълняват дейностите по почистването, за да се справите с това.
needs_help_privacy                      Понякога затворниците ще искат малко време за себе си. Времето, прекарано в килията, обикновено върши работа, но ако живеят в общо спално помещение с много други затворници, няма да има къде да се усамотят.
needs_help_clothing                     Затворниците ще имат нужда от чисти дрехи от време на време, дори и ако това е същият на цвят гащеризон. Добавянето на перално помещение към затвора, наемането на чистачи или пускането на затворници да работят в него ще помогне да превърнете тази мечта в реалност.
needs_help_drugs                        Много затворници имат проблеми с наркотичната зависимост − може би именно за това са попаднали в затвора. Можете да помогнете за лечението на този проблем, като проведете програма за лечението на наркотичната зависимост в лазарета.
needs_help_alcohol                      Много затворници се борят с алкохолизма и биха направили всичко, за да се докопат до някакъв алкохол. Можете да опитате да помогнете за това, като провеждате сесии за групова терапия на алкохолици.
needs_help_spirituality                 Много от затворниците имат различни религиозни вярвания. Можете да разрешите на затворниците да извършват религиозните си обреди, като осигурите църковни пейки или молитвени килимчета в затвора, но изграждането на параклис и провеждането на програми за духовно ръководство ще даде най-добрите резултати и като цяло ще подейства успокояващо на затворниците.
needs_help_warmth                       Никой не иска да му бъде студено през цялото време, но природата не се съобразява с това. Монтирането на радиатори в затвора ще осигури топлинния комфорт във вашите сгради, за да не се превърне това в проблем.
needs_help_babysleep                    Бебетата трябва да спят повече от обикновените затворници. Ако някоя от затворничките има бебе, уверете се, че разполага с креватче/кошара, за да могат бебетата да спят, когато е необходимо.
needs_help_babyplay                     Бебетата имат нужда от грижи и забавления. Ако някоя от затворничките има бебе, уверете се, че разполага с килимче за игра в достъпна зона.

needs_help_staffbladder                 Дори персоналът трябва да използва тоалетната от време на време. Това ще става, когато са в почивка.
needs_help_staffbowels                  Дори персоналът трябва да използва тоалетната от време на време. Това ще става, когато са в почивка.
needs_help_stafffood                    Персоналът трябва да се храни и ще го прави в столовата или стаите за персонал. За персонала ще бъде доставяна храна, така че да не се налага да ядат същите буламачи като затворниците.
needs_help_staffsafety                  Макар и да работи в затвор, персоналът има право на безопасност. Високите нива на опасност или постоянните сбивания ще накарат персонала да се чувства застрашен, макар че на това може да се противодейства донякъде, ако имате по-добре екипирани пазачи.
needs_help_staffrecreation              Персоналът прекарва много време във затвора и от време на време ще се нуждае от забавление. Телевизори или радио в стаята за персонала са един от начините да се осигури това.
needs_help_staffcomfort                 Повечето от персонала прекарват целия ден на крак; понякога искат да се поотпуснат. Да им осигурите място, където да поседнат, докато почиват, е добър начин за справяне с това.
needs_help_staffenvironment             Персоналът иска да работи в разхвърлян затвор също толкова, колкото и затворниците желаят да живеят там. Поддържането на затвора чист ще предотврати този проблем.
needs_help_staffrest                    Персоналът трябва да прави почивки през деня и да възстанови енергията си. За предпочитане е да почиват в отделна стая с удобна мека мебел.

reputation_title                        Репутация
reputation_hidden                       (Неизвестна репутация)
reputation_hidden_short                 ???

reputation_legendary                    --ЛЕГЕНДАРЕН--
reputation_strong                       Силен
reputation_tough                        Як
reputation_volatile                     Избухлив
reputation_snitch                       Доносник
reputation_deadly                       Смъртоносен
reputation_stoical                      Стоик
reputation_fearless                     Безстрашен
reputation_exlaw                        Бивш полицай
reputation_copkiller                    Убиец на полицай
reputation_quick                        Бърз
reputation_instigator                   Подстрекател
reputation_fighter                      Изкусен боец
reputation_gangmember                   Член на банда
reputation_federalwitness               Федерален свидетел
reputation_preacher                     Проповедник
reputation_connected                    Връзкар
reputation_workaholic                   Работохолик
reputation_clean                        Чистник
reputation_pickpocket                   Джебчия
reputation_copycat                      Крадец на самоличности
reputation_dangerous                    Опасен
reputation_escapeartist                 Майстор на бягствата

reputation_strong_high                  Изключително силен
reputation_tough_high                   Изключително як
reputation_volatile_high                Изключително избухлив
reputation_deadly_high                  Изключително смъртоносен
reputation_exlaw_high                   Бивш надзирател
reputation_quick_high                   Изключително бърз
reputation_fighter_high                 Отличен боец
reputation_connected_high               Голям връзкар
reputation_dangerous_high               Крайно опасен

reputation_legendary_high               --ЛЕГЕНДАРЕН--
reputation_snitch_high                  Доносник
reputation_stoical_high                 Стоик
reputation_fearless_high                Безстрашен
reputation_copkiller_high               Убиец на полицай
reputation_instigator_high              Подстрекател
reputation_gangmember_high              Член на банда
reputation_federalwitness_high			Федерален свидетел
reputation_preacher_high                Проповедник
reputation_workaholic_high              Работохолик
reputation_clean_high                   Чистник
reputation_pickpocket_high              Джебчия
reputation_copycat_high                 Крадец на самоличности
reputation_escapeartist_high            Майстор на бягствата

reputationtooltip_legendary             Този затворник е легенда в престъпния свят и притежава многобройни умения и способности, които го правят много опасен.
reputationtooltip_strong                Този затворник нанася по-силни удари по време на бой.
reputationtooltip_tough                 Този затворник може да понесе много повече поражения по време на бой. Понякога той може да понесе дори зашеметяване с електрошок.
reputationtooltip_volatile              Този затворник може да избухне без предупреждение и без причина.
reputationtooltip_stoical               Този затворник няма да се потисне, ако бъде заключен в Изолатора. Нищо не го интересува.
reputationtooltip_snitch                Този затворник е известен информатор и поради тази причина животът му може да бъде в опасност. Не го оставяйте насаме с другите затворници прекалено дълго време.
reputationtooltip_deadly                Този затворник е майстор в бойните изкуства и понякога може да убие само с един удар.
reputationtooltip_exlaw                 Този затворник е бивш полицай или представител на друго правоприлагащо ведомство. Животът му може да е в опасност.
reputationtooltip_copkiller             Този затворник е признат за виновен за убийството на полицай. Надзирателите може да изгубят самообладание, когато го усмиряват.
reputationtooltip_fearless              Този затворник не се притеснява от Въоръжените надзиратели и може да не се предаде по време на битка.
reputationtooltip_quick                 Този затворник може да бяга изключително бързо.
reputationtooltip_instigator            Този затворник създава недоволство сред околните. Когато той създава проблеми, другите затворници ще искат да правят същото.
reputationtooltip_fighter               Този затворник може изключително добре да се защитава. Той може да обезоръжи противника си или дори да му вземе оръжието по време на бой.
reputationtooltip_gangmember            Този затворник е член на банда. Той ще защитава другите членове на бандата и ще таи омраза към останалите банди.
reputationtooltip_federalwitness        Този затворник е свидетел по важно съдебно дело и поради тази причина може да бъде убит от банда или престъпен бос.
reputationtooltip_preacher              Този затворник е изключително харизматичен и е в състояние да накара другите да се обърнат към своята религия, като им осигурява нуждата от духовност.
reputationtooltip_connected             Този затворник има връзки навсякъде, в затвора и навън. В състояние е да извади контрабанда сякаш от нищото.
reputationtooltip_workaholic            Този затворник обича да работи и започне ли, не спира, докато не остане нищо за правене, игнорирайки режима и дори основните си нужди.
reputationtooltip_clean                 Този затворник е обсебен от това да бъде чист. В резултат на това нуждата му от хигиена ще се увеличи с много по-висок процент.
reputationtooltip_copycat               Този затворник може да копира поведението и действията на близките затворници, като дублира нещата, с които са известни.
reputationtooltip_dangerous             Този затворник причинява щети на хората около себе си. Как? Защо? Кой може да каже.
reputationtooltip_escapeartist          Този затворник е истински майстор на бягствата и се измъква за забавление. Непрекъснато се опитва да задигне ключовете от затвора и след това да избяга.

# =============================================================================
# Nameplate status
# =============================================================================

nameplate_working                       Работи
nameplate_stationed                     На пост
nameplate_patrolling                    Патрулира
nameplate_resting                       Почива
nameplate_tired                         Уморен
nameplate_injured                       Ранен
nameplate_unconscious                   В безсъзнание
nameplate_dead                          МЪРТЪВ
nameplate_released                      ОСВОБОДЕН
nameplate_researching                   Проучва се
nameplate_overdose                      ПРЕДОЗИРАЛ
nameplate_starving                      ГЛАДУВА
nameplate_wounded                       КЪРВИ


# =============================================================================
# Objectives, Grants
# =============================================================================

objective_feedallprisoners              Нахрани всички Затворници
objective_caption_prisoners             Затворници
objective_caption_meals                 Ястия
objective_readceosletter                Прочети писмото на изпълнителния директор
objective_actionrequired                Доклади за инциденти

objective_deathrowinmates               Състояние на затворниците със смъртна присъда

objective_prisonerintake                Прием на затворници
objective_intake_arrivals               *X затворници пристигат в 8 ч.
objective_intake_closed                 Вашият затвор е затворен за нови затворници
objective_intake_closed2                (Виж Доклада за затворниците)
objective_intake_closed3                (Виж Доклада за приема)
objective_intake_specials				Специални трансфери:
objective_intake_categories             Категории:
objective_intake_minsec                 Мин.,
objective_intake_medsec                 Нормална,
objective_intake_maxsec                 Макс.,
objective_intake_deathrow               Смъртна присъда
objective_intake_typeclosed             Затворен
objective_intake_typefillcapacity       Запълване до капацитета
objective_intake_typetotalprisoners     Запълване до *X
objective_intake_typenumperday          *X на ден
objective_intake_typeallavailable       Всички налични
objective_intake_closedstrike           Няма прием по време на стачка на персонала.

objective_firstgrant                    Приемете първата си субсидия
objective_firstgrant_description        Приемете първата си парична субсидия, като отворите прозореца за доклади (с натискането на бутона в долния десен ъгъл на екрана), влезете в раздела Grants (Субсидии) и изберете една от наличните субсидии.

objective_builddeliveriesroom           Направи зона за доставка

objective_outgoing                      Затворници, които трябва да бъдат освободени
objective_outgoing_count                *X затворници скоро трябва да бъдат освободени
objective_outgoing_timer                (*X ч.)

objective_visitors                      Свиждания (8 ч. – 20 ч.)
objective_visitors_waiting              *X семейства чакат за свиждане
objective_visitors_onsite               *X посетители в затвора в *Y групи

objective_staffexhausted                Персоналът е изтощен
objective_reststaff_exhausted           *X служители са изтощени.
objective_reststaff_resting             (*X почиват)
objective_reststaff_needstaffroom       Направете Стая за почивка на персонала.

objective_punishment_solitary           *X са в Изолатора
objective_punishment_solitary_queue     *X чакат вкарване в Изолатора
objective_punishment_solitary_mix       *X са в Изолатора (+*Y чакащи)
objective_punishment_lockdown           *X са в Строга изолация
objective_incident_medical              *X се нуждаят от медицинска помощ
objective_incident_dead                 *X трупа

objective_prisonerparole                Пускане под гаранция
objective_parole_count                  *X затворници са за пускане под гаранция

objective_payment_receivedfull          Плащане: *X получени
objective_payment_receivedpart          Плащане: *X получени от общо *Y

objective_grant_bootstraps                  Основен център за задържане
objective_grant_bootstraps_description      Превърнете празен парцел земя във функциониращ затвор.  Този правителствен договор ви дава необходимите средства за построяване на абсолютния минимум от съоръжения за приемане на първата група Затворници.
objective_grant_bootstraps_holdingcell      Постройте обща килия
objective_grant_bootstraps_shower           Постройте баня
objective_grant_bootstraps_yard             Постройте двор
objective_grant_bootstraps_kitchen          Постройте кухня
objective_grant_bootstraps_canteen          Постройте столова
objective_grant_bootstraps_guard            Наемете най-малко 2 надзиратели
objective_grant_bootstraps_chef             Наемете най-малко 2 готвачи

objective_grant_administration                          Административен център
objective_grant_administration_description              Всеки затвор се нуждае от функционираща административна сграда за осигуряване на ефективно управление на проектите.  Този договор осигурява средствата за плащане на Директора и Счетоводителя, и за построяване на техните офиси, което от своя страна ще ни даде пълен достъп до Федералните дарения.
objective_grant_administration_offices                  Постройте два офиса
objective_grant_administration_warden                   Наемете Директор
objective_grant_administration_accountant_research      Отключете Финансите чрез Бюрокрацията
objective_grant_administration_accountant               Наемете Счетоводител

objective_grant_firstcellblock                  Затворнически сектор A
objective_grant_firstcellblock_description      Основните сгради са построени и функционират.  Време е да построите първия си затворнически сектор и да прехвърлите затворниците в собствените им килии.
objective_grant_firstcellblock_cells            Увеличете Капацитета на затворниците до 15

objective_grant_health                      Здраве и благополучие на затворниците
objective_grant_health_description          Физическото и умственото здраве на затворниците са много важни за нас.  Това дарение се отпуска за построяване на съвременно медицинско отделение и наемане на лекари и психолози, които да се грижат за здравословното състояние на затворниците.
objective_grant_health_ward                 Постройте медицинско отделение
objective_grant_health_doctors              Наемете най-малко 2 лекари
objective_grant_health_psychologist         Наемете психолог (нуждае се от Офис)

objective_grant_bailout                     Правителствена субсидия
objective_grant_bailout_description         Правителството не е доволно от работата ви, но е решило, че затворът е прекалено голям, за да бъде ликвидиран. Властите ще отпуснат пари на данъкоплатците, за да спасят затвора от банкрут. Вие обаче трябва да оправите финансовото си състояние – да поддържате положителен паричен оборот (ежедневните приходи да са повече от разходите) и да изплатите дълговете си към банката.
objective_grant_bailout_cashflow            Приходите да са по-високи от разходите
objective_grant_bailout_debt                Изплатете дълговете си


objective_grant_maintenance                         Поддръжка на затвора
objective_grant_maintenance_description             Общата поддръжка на затвора и околностите е много важна за сигурността на персонала и затворниците. Наемете необходимия персонал за поддържане на чистотата и реда в затвора.
objective_grant_maintenance_research_root           Отключете Поддръжката чрез Бюрокрацията
objective_grant_maintenance_research_cleaning       Отключете Почистването чрез Бюрокрацията
objective_grant_maintenance_research_groundskeeping Отключете Поддържане на земята чрез Бюрокрацията
objective_grant_maintenance_foreman                 Наемете Бригадир (нуждае се от Офис)
objective_grant_maintenance_janitor                 Наемете най-малко 2 чистачи
objective_grant_maintenance_gardener                Наемете градинар

objective_grant_visitation                          Права за свиждане
objective_grant_visitation_description              Няколко други затвора в региона са изправени на съд за това, че не дават на затворниците право на свиждане. Инвеститорите не искат скандал и отпускат това дарение за построяване на необходимите помещения.
objective_grant_visitation_room                     Постройте стая за свиждане
objective_grant_visitation_tables                   Добавете най-малко 3 маси за посетители
objective_grant_visitation_commonroom               Постройте обща стая
objective_grant_visitation_pooltable                Добавете билярдна маса
objective_grant_visitation_tv                       Добавете най-малко 2 телевизора
objective_grant_visitation_phones                   Постройте най-малко 5 телефонни кабини

objective_grant_basicsecurity                       Сертификация за осигуряване на охрана
objective_grant_basicsecurity_description           Един от най-често срещаните проблеми в новите затвори е свързан с грешките в сигурността поради неопитността на персонала. За предотвратяване на инцидентите, които могат да ни навредят в бъдеще, трябва да увеличите охраната до приемливо ниво.
objective_grant_basicsecurity_chief                 Наемете Началник на охраната (нуждае се от Офис)
objective_grant_basicsecurity_guards                Наемете 10 надзиратели
objective_grant_basicsecurity_patrols               Изпратете 3 надзиратели да патрулират
objective_grant_basicsecurity_research              Отключете Патрулите чрез Бюрокрацията

objective_grant_enhancedsecurity                    Правителствена оценка на сигурността
objective_grant_enhancedsecurity_description        Правителството има определени изисквания за сигурността в затворите със съответните размери и налага големи глоби на онези, които не ги спазват. Постарайте се това да не се превърне в проблем.
objective_grant_enhancedsecurity_armoury            Постройте Оръжейна
objective_grant_enhancedsecurity_kennel             Постройте Кучкарник
objective_grant_enhancedsecurity_guards             Наемете 2 Въоръжени надзиратели
objective_grant_enhancedsecurity_dogs               Наемете 2 Надзиратели с кучета
objective_grant_enhancedsecurity_patroldogs         Изпратете 2 Надзиратели с кучета на Патрул с кучета
objective_grant_enhancedsecurity_patrolarmed        Изпратете 2 Въоръжени надзиратели на Патрул

objective_grant_advancedsecurity                    Осигуряване на Инфраструктура с максимална сигурност
objective_grant_advancedsecurity_description        Осигуряването на охраната на голям брой затворници може да е трудно, но последствията от пробив в сигурността са много по-сериозни от разходите по въвеждането на правилни мерки за сигурност. Монтирайте необходимото оборудване в целия затвор.
objective_grant_advancedsecurity_guards             Увеличете броя на надзирателите
objective_grant_advancedsecurity_researchcctv       Отключете Камерите за наблюдение чрез Бюрокрацията
objective_grant_advancedsecurity_researchbodyarmour Отключете Бронежилетките чрез Бюрокрацията
objective_grant_advancedsecurity_researchtazers     Отключете Електрошоковете чрез Бюрокрацията
objective_grant_advancedsecurity_office             Постройте Офис на охраната
objective_grant_advancedsecurity_cctvmonitor        Направете Монитор за наблюдение
objective_grant_advancedsecurity_cctvcameras        Поставете Камери за наблюдение в затвора.

objective_grant_prisonerworkforce                   Аклиматизация и работа на затворниците
objective_grant_prisonerworkforce_description       Работата на затворниците в затвора е добър начин за тяхната интеграция, който спомага и за намаляване на разходите. Въведете необходимото обучение и постройте необходимите помещения за осигуряване на работа за вашите затворници.
objective_grant_prisonerworkforce_research          Отключете Труд в затвора чрез Бюрокрацията
objective_grant_prisonerworkforce_cleaning          Постройте Склад за почистване
objective_grant_prisonerworkforce_laundry           Постройте Пералня
objective_grant_prisonerworkforce_kitchenclass      Накарайте 3 затворници да завършат програмата Безопасност и хигиена в кухнята
objective_grant_prisonerworkforce_laundryassigned   Изпратете 3 затворници да работят в Пералнята
objective_grant_prisonerworkforce_kitchenassigned   Изпратете 3 затворници да работят в Кухнята
objective_grant_prisonerworkforce_cleaningassigned  Изпратете 3 затворници да работят в Склада за почистване

objective_grant_educationreformprogram              Инициатива Реформи чрез обучение
objective_grant_educationreformprogram_description  Известна организация провежда широкомащабен социален експеримент за влиянието на обучението върху нивото на престъпността сред затворниците. Направете класни стаи и започнете да обучавате затворниците си.
objective_grant_educationreformprogram_research     Отключете Обучението чрез Бюрокрацията
objective_grant_educationreformprogram_classroom    Направете Класна стая
objective_grant_educationreformprogram_desks        Направете 20 чина
objective_grant_educationreformprogram_foundationed Накарайте 10 затворници да преминат класа за Основно обучение
objective_grant_educationreformprogram_generaled    Накарайте 1 затворник да премине класа за Общо обучение

objective_grant_prisonlabour                        Производствено помещение в затвора
objective_grant_prisonlabour_description            Инвеститорите искат да повишат приходите в затвора и да направят инвестиция за построяване на работилници, както и за използване на затворническата работна ръка.
objective_grant_prisonlabour_workshop               Постройте Работилница
objective_grant_prisonlabour_saw                    Направете 2 циркуляра
objective_grant_prisonlabour_press                  Направете 2 преси
objective_grant_prisonlabour_reform                 Накарайте 5 затворници да преминат програмата за Безопасност в работилницата
objective_grant_prisonlabour_plates                 Направете 30 автомобилни номера

objective_grant_furnituremanufacturing              Програма за обучение в областта на дърводелството
objective_grant_furnituremanufacturing_description  Въвеждането на курсове по дърводелство ще даде на затворниците ви ценни умения, които те ще могат да използват след излизането си от затвора и ще им позволи да изработват висококачествени мебели в работилницата, които могат да се продават за повишаване на приходите.
objective_grant_furnituremanufacturing_forestry     Постройте Зона за дървета
objective_grant_furnituremanufacturing_table        Направете 2 дърводелски маси
objective_grant_furnituremanufacturing_reform       Накарайте 2 затворници да преминат курса по Дърводелство
objective_grant_furnituremanufacturing_bed          Направете 10 Висококачествени легла

objective_grant_reducestaffstress                   Инициатива за благополучие на персонала
objective_grant_reducestaffstress_description       Затворническите профсъюзи получават доклади за това, че служителите в затворите са прекалено стресирани и имат прекалено много работа, което води до значителни грешки. Внимавайте тези проблеми да не възникнат и във вашия затвор.
objective_grant_reducestaffstress_staffroom         Постройте Стая за персонала
objective_grant_reducestaffstress_freeguards        Направете така, че най-малко 5 надзиратели да нямат задължения
objective_grant_reducestaffstress_restedstaff       Погрижете се никой от персонала да не е изтощен

objective_grant_shortterminvestment                 Краткосрочни инвестиции
objective_grant_shortterminvestment_description     Вложете пари в инвестиционен фонд, който ще ви даде добра възвръщаемост върху вложената от вас сума.
objective_grant_shortterminvestment_wait            Изчакайте за средства...

objective_grant_longterminvestment                  Дългосрочни инвестиции
objective_grant_longterminvestment_description      Вложете пари в дългосрочен инвестиционен фонд, който ще ви даде голяма възвръщаемост върху вложената от вас сума.
objective_grant_longterminvestment_wait             Изчакайте за средства...

objective_grant_cellblock50                         Затворнически сектор В
objective_grant_cellblock50_description             Време е още повече да увеличите капацитета на вашия затвор.
objective_grant_cellblock50_cells                   Увеличете капацитета на затворниците до 50

objective_grant_cellblock100                        Затворнически сектор С
objective_grant_cellblock100_description            Използвайте земята по предназначение, като продължите да разширявате затвора си.
objective_grant_cellblock100_cells                  Увеличете капацитета на затворниците до 100

objective_grant_cellblock200                        Затворнически сектор D
objective_grant_cellblock200_description            Повече затворници означава по-голямо финансиране от правителството. Увеличете капацитета, за да се възползвате от това.
objective_grant_cellblock200_cells                  Увеличете капацитета на затворниците до 200

objective_grant_cellblock500                        Затворнически сектор Е
objective_grant_cellblock500_description            Правителството оказва значителна финансова подкрепа на най-големите затвори. Време е да постигнем и тази цел.
objective_grant_cellblock500_cells                  Увеличете капацитета на затворниците до 500

objective_grant_nutritionresearch                   Изследване на храненето при затворниците
objective_grant_nutritionresearch_description       Независима изследователска организация отпуска средства за участие в проучване на различните хранителни навици при затворниците.
objective_grant_nutritionresearch_poor              Сервирайте едно нискокачествено ястие в продължение на два дни
objective_grant_nutritionresearch_good              Сервирайте три висококачествени ястия в продължение на два дни

objective_grant_drugsearch                          Строги мерки относно наркотиците
objective_grant_drugsearch_description              Безпокойството във връзка с употребата на наркотици в по-големите затвори започна да се повишава наскоро. Вземете необходимите мерки по този въпрос и покажете, че можете да се справите с този проблем.
objective_grant_drugsearch_find                     Намерете 10 незаконни наркотика

objective_grant_contrabandsupply                    Премахване на инструментите
objective_grant_contrabandsupply_description        След редица инциденти в другите затвори, свързани с откраднати инструменти, една организация провежда изследване на разпределението на инструментите и оръжията в затворите. Тази част от изследването е свързана с премахване на такива неща от вашия затвор.
objective_grant_contrabandsupply_tools              Премахнете откраднатите инструменти
objective_grant_contrabandsupply_weapons            Премахнете откраднатите оръжия

grant_category_completed                            Завършено:
grant_category_unlocked                             Отключено:
grant_category_cash                                 Пари:
grant_category_cashflow                             Оборот:
grant_category_debt                                 Дълг:
grant_category_prisoners                            Затворници:

grant_property_atleast                              Най-малко *X
grant_property_atmost                               Не повече от *X


# =============================================================================
# Materials
# =============================================================================


object_none                              Няма
object_box                               Кашон
object_stack                             Купчина
object_bed                               Легло
object_bunkbed                           Двуетажно легло
object_crib                              Детско креватче
object_toilet                            Тоалетна
object_table                             Маса
object_chair                             Стол
object_bench                             Пейка
object_electricchair                     Електрически стол
object_jaildoor                          Затворническа врата
object_jaildoorlarge                     Голяма затворническа врата
object_door                              Врата
object_solitarydoor                      Врата на изолатор
object_staffdoor                         Врата за персонал
object_remotedoor                        Дистанционна врата
object_roadgate                          Порта
object_jailbars                          Решетка
object_window                            Прозорец
object_windowlarge                       Голям прозорец
object_tree                              Дърво
object_light                             Лампа
object_cooker                            Печка
object_fridge                            Хладилник
object_bin                               Кошче
object_sink                              Мивка
object_servingtable                      Маса за сервиране
object_showerhead                        Слушалка за душ
object_brick                             Тухла
object_concrete                          Бетон
object_steel                             Стомана
object_ingredients                       Продукти
object_ingredientscooking                Продукти (готвят се)
