# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Journal intégral des changements
d11_meal_system_description	Le système alimentaire de la prison est basé sur 4 facteurs : les options de repas (variété et quantité), le nombre actuel de prisonniers, le nombre de repas par jour, et la quantité d'ingrédients stockés. Par rapport aux ingrédients importés, les produits cultivés en prison donnent des bonus aux besoins lorsqu'ils sont consommés, et peuvent donner le statut “Sain” aux détenus.
d11_IngredientRatio_hint	Affiche le nombre actuel des types d'ingrédients se trouvant dans le stockage
d11_meal_ingredients_count_per_meal_hint	Le nombre d'ingrédients nécessaires pour nourrir le nombre actuel de prisonniers pour un seul repas, en fonction des options de repas choisies
d11_meal_ingredients_count_per_day_hint	Le nombre d'ingrédients nécessaires pour nourrir le nombre actuel de prisonniers aujourd'hui, en fonction des options de repas choisies
d11_crops_per_day_hint	Le nombre de cultures achetées au cours des dernières 24 heures
d11_imported_ingredients_cost_hint	Le coût total de tous les ingrédients achetés et
delivered	au cours des dernières 24 heures
d11_crop_cost_hint	Le coût total des cultures achetées au cours des dernières 24 heures
d11_meal_cost_per_meal_hint	Le coût moyen pour nourrir un prisonnier, en utilisant comme référence les options de repas et les privilèges choisis
d11_meal_cost_total_hint	Le coût total nécessaire pour nourrir chaque prisonnier à chaque repas, en prenant comme référence les options de repas et la population carcérale actuelle
d11_meal_estimated_price_hint	L'estimation des coûts totaux nécessaires pour nourrir chaque prisonnier. Cette valeur ne peut être qu'une estimation, en raison du nombre de facteurs externes qui l'affectent
including	les graines gagnées, le temps de croissance des cultures et le changement de rendement des cultures.
d11_GreenPower_Locked	Cette source d'énergie est débloquée par un Objectif énergie verte, via le menu Subventions.
d11_powerstation_overloaded_Raw_power	L'énergie verte brute surchargée ne peut pas être connectée à des appareils électriques
D11_PowerExport_Error	Connectez-vous à un transformateur via un câblage pour exporter de l'énergie en surplus.
d11_powerexportmeter_powertosell	Exportation disponible : $*X
d11_PowerExport_PowerCap	Exportation maximum : [*X]
buildtoolbar_popup_uts_Transformer	Convertit l'énergie électrique produite par les sources d'énergie verte en énergie compatible avec les appareils électriques, en utilisant le flux indiqué par la direction des flèches dans l'image ci-jointe. Les batteries adjacentes seront chargées par toute énergie en surplus provenant de l'énergie verte ou des centrales électriques connectées, mais les transformateurs ont une limite d'entrée de 5000 unités.
buildtoolbar_popup_uts_PowerExportMeter	Un objet qui permet de renvoyer toute l'énergie stockée vers le réseau électrique local contre un retour financier. Doit être relié par un câblage à un transformateur avec des batteries connectées pour fonctionner correctement.
d11_continuous_fertilizer_tooltip	Choisissez si vous souhaitez acheter automatiquement de l'engrais ou non, et le niveau de qualité de celui-ci.
d11_crop_types_tooltip	Choisissez si vos cultures achetées automatiquement seront naturelles ou génétiquement modifiées. Les cultures génétiquement modifiées ont un temps de croissance 50 % plus court, mais leur prix à l'exportation est réduit dans la même proportion. Elles suppriment leurs besoins lorsqu'elles sont consommées par les prisonniers.
d11_farm_search_freq_tooltip	Comme les salles d'agriculture ne sont pas incluses dans les fouilles générales, utilisez cette option pour décider si des recherches régulières doivent être effectuées ou non dans ces salles d'agriculture.
d11_farm_search_target_tooltip	Comme les salles d'agriculture ne sont pas incluses dans les fouilles générales, utilisez cette option pour décider quels objets ou personnes sont fouillés dans l'option Fréquence des fouilles.
d11_continuous_planting_tooltip	Cette option permettra d'automatiser le travail de replantation d'une même culture après sa récolte, selon une logique similaire à celle de la sylviculture.
d11_researchhint_l_farming	Cette recherche débloque de nombreuses fonctionnalités liées à l'agriculture, notamment : les outils d'agriculture automatique, le Bac à compost et les Engrais, le Garde-manger et le Grand réfrigérateur, ainsi que les emplois de travail en prison et la méthode de contrôle de la distribution des récoltes.
object_quickconnect	Connexion rapide
objective_GoingGreenInfo_child_1	Les principales caractéristiques du programme “Virage vert”  sont énumérées ci-dessous. En passant votre curseur sur chaque sous-rubrique, une description et une explication de chaque élément s'affichera.
d11_cropDistributionHint	Clic droit : Gérer la distribution
dlc_name_psychWard	Unité psychiatrique
dlc_name_prisonWing	Transfert autorisé
dlc_name_seaAirLand	Destination île déserte
dlc_name_greenMachine	Virage vert
interfacemode_objectType_filter_requiresWater	Plomberie
interfacemode_objectType_filter_requiresElectricity	Électronique
interfacemode_objectType_filter_entertainment	Divertissement
interfacemode_objectType_filter_rest	Au repos
interfacemode_objectType_filter_exercise	Exercice
interfacemode_objectType_filter_decoration	Décoration
interfacemode_objectType_filter_foliage	Feuillage
interfacemode_objectType_filter_signs	Panneaux
interfacemode_objectType_filter_security	Sécurité
interfacemode_objectType_filter_catering	Restauration
interfacemode_objectType_filter_misc	Divers
material_SellFlooring	Vendre le revêtement de sol
object_AdvancedAutoGatherer	Ramasseur automatique avancé
object_farmer	Fermier
object_OrganicWaste	Déchets organiques
object_CompostBin	Bac à compost
object_DumpObject	Jeter l'objet
room_flowergarden	Jardin floral
buildtoolbar_popup_room_Pantry	Une pièce pour stocker tous vos fruits et légumes fraîchement cultivés. La pièce est réfrigérée pour conserver les produits cultivés en prison.
buildtoolbar_popup_obj_Shed	Un espace pour stocker toutes vos graines, outils et autres articles agricoles. Il y a un robinet d'eau pour permettre une irrigation de base.
buildtoolbar_popup_obj_AdvancedAutoGatherer	S'active toutes les 6 heures, pour ramasser et stocker tous les ingrédients dans une zone de 10x10.
buildtoolbar_popup_obj_CompostBin	Utilisé pour transformer la nourriture et les déchets organiques en un engrais utile.
buildtoolbar_popup_obj_PinkFlamingo	Un joyeux lutin de décoration de jardin.
buildtoolbar_popup_obj_BowtieBandit	Un type très élégant.
buildtoolbar_popup_obj_Shepherd	QUI EST LE PLUS MALIN ?
buildtoolbar_popup_obj_DumpObject	Jeter des objets de votre prison
buildtoolbar_popup_uts_quickconnect	Connecte rapidement tout système de surveillance ou système automatisé à l'objet de réception le plus proche.
contraband_Ingredient	Ingrédients pour alcool
contraband_Kicker	Stimulant pour Alcool
contraband_StashLocation	Emplacement de cachette
d11_crop_types_caption	Type de culture
d11_farm_search_freq_option_3days	Tous les 3 jours
d11_farm_search_freq_option_5days	Tous les 5 jours
d11_farm_search_target_option_crops	Culture Seulement
d11_farm_search_target_option_labourers	Détenus laboureur
d11_crop_type_option_natural	Cultures naturelles
d11_crop_type_option_GMO	Cultures OGM
Ingredients_UsageCaption	Ratio
researchtooltip_farming	Débloque des techniques et des équipements agricoles avancés, ainsi que des cultures plus coûteuses.
buildtoolbar_quickbuild_flowerGarden	Une aire de repos paisible pour nos détenus.
buildtoolbar_quickbuild_grove	Un groupe d'arbres, à utiliser pour ajouter plus de vie à notre terrain.
buildtoolbar_quickbuild_hedgeMaze	Un labyrinthe basique créé en taillant des haies, pour que nos prisonniers puissent l'explorer.
buildtoolbar_quickbuild_yard	Une cour standard avec tout ce dont nos détenus peuvent avoir besoin.
objective_target_ExportPower1	Objectif Énergie verte 3
objective_target_ExportPower1_description	Le plafond d'exportation d'énergie est porté à 1000 unités.
objective_target_ExportPower1_task	Exporter 1000 unités d'énergie.
objective_target_ExportPower1_reward	Objectif Énergie verte 3 accompli.
objective_target_ExportPower1_reward_text	Plafond d'exportation d'énergie porté à 1000 unités.
objective_target_ExportPower2	Objectif Énergie verte 4
objective_target_ExportPower2_description	Le plafond d'exportation d'énergie est porté à 2500 unités.
objective_target_ExportPower2_task	Exportez 2 500 unités d'énergie.
objective_target_ExportPower2_reward	Objectif Énergie verte 4 accompli.
objective_target_ExportPower2_reward_text	Plafond d'exportation d'énergie porté à 2500 unités.
objective_target_ExportPower3	Objectif Énergie verte 5
objective_target_ExportPower3_description	Le plafond d'exportation d'énergie est porté à 5000 unités.
objective_target_ExportPower3_task	Exportez 5 000 unités d'énergie.
objective_target_ExportPower3_reward	Objectif Énergie verte 5 accompli.
objective_target_ExportPower3_reward_text	Plafond d'exportation d'énergie porté à 5000 unités.
interface_title_targets	Objectifs Énergie verte
objective_HelpGreenEnergy_child_3_description	En raison des propriétés de l'énergie verte brute, chaque nouvelle source d'énergie doit être reliée à un transformateur par des câbles électriques avant que leur énergie puisse être utilisée pour des appareils électriques.\n\nLe transformateur transforme non seulement l'énergie verte brute en une forme d'énergie utilisable, mais il peut également charger n'importe quelle batterie adjacente. \n\nL'énergie stockée dans les objets de type Batterie peut être utilisée comme énergie de secours, ou être une nouvelle exportation via le compteur d'exportation d'énergie.
objective_HelpGreenEnergy_child_5_description	Un certain nombre d'objectifs d'énergie verte peuvent être trouvés dans le menu Subventions. En réalisant ces objectifs, des récompenses seront obtenues, notamment : \n\n- Augmenter la limite quotidienne d'exportation d'électricité \n- Déverrouiller des sources d'énergie supplémentaires \n- Augmenter la performance de toute source d'énergie verte achetée.
objective_HelpNarcoticProduction_child_2	Production de drogue
objective_HelpNarcoticProduction_child_2_description	En revanche, la production de drogue ne sera basée que dans une seule pièce, la Terre agricole. Les détenus tenteront d'altérer les cultures existantes pour cacher les drogues cultivables. \n\n Ces plantes altérées auront une odeur et pourront donc être détectées par des chiens de garde, mais ces zones ne seront jamais prises en compte lors des fouilles générales et il faudra donc donner un ordre de recherche manuelle - bien que chaque recherche ait une chance d'abîmer les cultures.\n\nLorsque ces cultures sont récoltées, les stupéfiants sont également récupérés, si le détenu adéquat effectue la récolte. \n\nLes gangs peuvent également prendre le contrôle des salles de Terre agricole pour s'assurer qu'ils contrôlent la production de stupéfiants.
objectiveWindow_FilterButton_0_title	Tâches
objectiveWindow_FilterButton_1_title	Virage vert
objectiveWindow_FilterButton_0_tooltip	Tâches en cours
objectiveWindow_FilterButton_1_tooltip	Des informations décrivant et expliquant les principales caractéristiques du programme Virage vert
escapemode_info_board	Embarquer dans le ferry
reports_ingredients_usageTitle	Ratio d'utilisation ingrédients Frais / Importés
objective_HelpEnvironmentallyFriendly	Respectueux de l’environnement
object_OxStatue	Statue de buffle
object_PaperDragonHead	Dragon (tête)
object_PaperDragonBody	Dragon (entier)
object_PaperDragonTail	Dragon (queue)
object_PaperLantern	Lanterne en papier
object_CoupletBanner	Bannière de couplet
buildtoolbar_popup_obj_OxStatue	Une statue de l'imposant buffle du zodiaque
buildtoolbar_popup_obj_PaperDragonHead	Une tête de dragon en papier
buildtoolbar_popup_obj_PaperDragonBody	Un corps de dragon en papier
buildtoolbar_popup_obj_PaperDragonTail	Une queue de dragon en papier
buildtoolbar_popup_obj_PaperLantern	Une lanterne rouge décorative pour éclairer votre prison
buildtoolbar_popup_obj_CoupletBanner	Une bannière décorative avec des vers Chinois
object_PinkFlamingo	Flamant rose
object_HayBale	Meule de foin
object_FlowerPlanterWateringCan	Bac à fleurs (Arrosoir)
object_FlowerPlanterWellies	Bac à fleurs (Bottes)
object_FlowerPlanterWheelbarrow	Bac à fleurs (Brouette)
object_SmallServingTable	Table de service (petite)
object_TrayDispenser	Distributeur de plateaux
object_SolarWallLight	Lumière murale (Solaire)
buildtoolbar_popup_obj_HayBale	Un incontournable pour toute ferme digne de ce nom !
buildtoolbar_popup_obj_FlowerPlanterWateringCan	Un simple arrosoir réutilisé qui contient maintenant des fleurs.
buildtoolbar_popup_obj_FlowerPlanterWellies	Une paire de bottes en caoutchouc recyclées qui contiennent maintenant des fleurs
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	Une décoration colorée pour vos zones en extérieur
buildtoolbar_popup_obj_SmallServingTable	Pour la distribution de nourriture à vos prisonniers.
buildtoolbar_popup_obj_TrayDispenser	Utilisé pour stocker des plateaux à nourriture. Capacité maximum : 200 plateaux.
buildtoolbar_popup_obj_SolarWallLight	Une lampe à énergie solaire qui peut être placée sur les murs et s'allume automatiquement la nuit.
object_FoodTrayPack	Lots de plateaux à nourriture
buildtoolbar_popup_obj_FoodTrayPack	Un lot de 40 plateaux à nourriture- Double clic/Maintenir pour acheter
d11_staffalert_summary_BasicFarming03	Contrairement aux autres cultures, les arbres fruitiers produisent des fruits en continu et, de ce fait, les arbres n'ont pas besoin d'être remplacés après chaque récolte.
d11_ingredients_crops_per_day_tooltip	Le nombre de cultures achetées au cours des dernières 24 heures
buildtoolbar_popup_mat_grasscornerfloor	Un angle avec de l'herbe et de la terre. Utile pour des chemins avec des virages.
buildtoolbar_popup_mat_grasscornerfloor1	Un angle avec de l'herbe et de la terre. Utile pour des chemins avec des virages.
buildtoolbar_popup_mat_grasscornerfloor2	Un angle avec de l'herbe et de la terre. Utile pour des chemins avec des virages.
buildtoolbar_popup_mat_grasscornerfloor3	Un angle avec de l'herbe et de la terre. Utile pour des chemins avec des virages.
buildtoolbar_Logistics_CropDistribution	Contrôlez dans quelles salles les cultures récoltées sont déplacées. Vous pouvez également modifier les pourcentages de distribution via la fenêtre Gérer la distribution.
interfacemode_objectPack_filter_caption	Filtre le nombre d'objets affichés, en fonction de leur pack d'extension associé.
interfacemode_objectType_filter_caption	Filtre le nombre d'objets affichés, en fonction de leur type.
d11_powerstation_overloaded_two_stations	Quand elles sont Surchargées, les centrales électriques ne doivent pas être reliées entre elles
buildtoolbar_deployment_PrioritizeFarmer	Utilisez cette option pour que les agriculteurs couvrent en priorité des secteurs spécifiques dans votre prison. Si vous êtes à court de personnel, les agriculteurs essaieront d'abord de couvrir vos zones prioritaires. Affectez 1, 2 ou 3 agriculteurs pour donner la priorité à une zone.
interfacetopbar_tooltip_totalFarmers	*X agriculteurs au total
interfacetopbar_tooltip_farmer	Le nombre d'Agriculteurs actuellement présents dans votre prison.
d11_farm_search_target_option_everything	Tout
interface_action_searchRoom	Fouiller la pièce
mutator_name_Noir	Noir
mutator_tooltip_Noir	Un filtre sombre et poussiéreux qui enlève la plupart des couleurs de votre prison.
mutator_name_RoofView	Vue Toit
mutator_tooltip_RoofView	Applique un effet similaire à celui du brouillard de guerre, mais en montrant le toit des bâtiments dans les zones à faible visibilité au lieu du “brouillard”.
job_group_hovering_expand	Cliquez pour développer les types d'emplois similaires
job_group_hovering_collapse	Cliquez pour réduire les types d'emplois similaires
d11_hover_quantity	x *X
interfacemode_objectType_filter_all	Type d'objet : Tous les types
d11_farm_search_freq_option_never	Jamais
objective_HelpGreenEnergy_child_1_description	Il existe trois nouvelles sources d'énergie verte, qui peuvent être utilisées pour remplacer la centrale électrique. \n\nÉoliennes \nPanneaux solaires \nÉoliennes à énergie solaire \nSeuls les panneaux solaires seront disponibles dans un premier temps. \n\nChaque source d'énergie verte a des propriétés légèrement différentes, notamment en termes de puissance, mais contrairement aux centrales électriques, elles peuvent être reliées entre elles pour former un ensemble comprenant jusqu'à 50 éléments.
objective_HelpNarcoticProduction_child_1_description	Les détenus qui remplissent certaines conditions ont la possibilité de brasser leur propre alcool. \n\n D'abord, ils récupéreront les ingrédients pour l'alcool dans les salles d'agriculture, les cuisines ou tout distributeur automatique auquel ils ont accès.\n\nIls prépareront ensuite ces ingrédients la nuit dans leurs cellules avant de stocker l'alcool brassé pendant un certain nombre de jours pour qu'il fermente.
codex_options_staffalertscaption	Alertes de personnel
reports_farmingpolicytitle	Politiques Agriculture
report_policy_categoryTooltip_PrisonerTransfer	LÉGENDAIRE
roomgrading_has_pa_system	[*X] A un système AP dans le bloc de cellules.
buildtoolbar_popup_mat_Water	 - Créez des cours d'eau, des fleuves et d'autres zones aquatiques infranchissables.
interfacecallout_AirSoldiers	Troupes aéroportées
object_walkwaystairs	Escaliers de passerelle (WIP)
buildtoolbar_popup_obj_walkwaystairs	Placez-vous à côté d'une passerelle surélevée (Passerelle murale) pour que les gardes puissent accéder aux passerelles et patrouiller d'en haut.
buildtoolbar_popup_mat_PerimeterWall	Les conduites d'eau ne peuvent pas être construites en dessous.
d11_farm_search_freq_caption	Fréquence des fouilles des fermes
d11_farm_search_target_caption	Cible de la fouille de la Ferme
d11_continuous_fertilizer_caption	Engrais continu
Ingredients_UsageCaption_tooltip	Contrôlez le rapport entre les produits cultivés en prison et les ingrédients livrés utilisés pour les repas. Les ingrédients seront commandés si la quantité stockée n'est pas suffisante.
report_target_rewards	[Récompenses]
report_target_progress	[Progression]
reform_program_and	et
objective_intake_closedriot	Admissions non disponibles durant les émeutes.
reputation_swimmer_high	Nageur
uniform_color_1	Gris
uniform_color_2	Orange
uniform_color_3	Rouge
uniform_color_4	Jaune
uniform_color_5	Bordeaux
uniform_color_6	Noir
uniform_color_7	Blanc
uniform_color_9	Rose
uniform_color_10	Marron
uniform_color_11	Vert
uniform_color_12	Bleu
uniform_color_13	Bleu ciel
uniform_color_14	Saumon
uniform_color_15	Velours
uniform_color_16	Violet
uniform_color_17	Vert citron
uniform_color_18	Rose fluo
uniform_color_19	Aqua
uniform_color_20	Métallique
uniform_color_21	Sable
uniform_color_22	Bordeaux
uniform_color_23	Tâches
uniform_color_24	Acide
uniform_color_25	Tempête
uniform_color_26	Violet
uniform_color_27	Saleté
uniform_color_28	Acier
uniform_color_29	Lilas
uniform_color_30	Coquille d'œuf
uniform_color_31	Océan
uniform_color_32	Gruau
object_TherapyAnimal	Animal de zoothérapie
object_TherapyAnimalContainer	Cage pour animal de zoothérapie
object_AnimalTherapist	Zoothérapeute
object_RestaurantCustomer	Client civil
object_DisplayCounter	Présentoir
object_RehabilitatedPrisoner	Détenu réhabilité
object_Oven	Four
object_DoughMixer	Pétrin à pâte
object_Dough	Pâte
object_BreadLoaf	Miche de pain
object_BreadBun	Petit pain
object_Cake	Gâteau
object_Cupcake	Cupcake
object_Baguette	Baguette
object_CivilianChild	Délinquant juvénile
object_RestaurantMeal	Plat de restaurant
object_RestaurantIngredientsCooking	Plat de restaurant (Cuisson)
object_RestaurantPlateDirty	Assiette (Sale)
object_CakeStand	Étal à gâteau
object_GrassBridge	Pont en herbe
object_DiningTableLarge	Table de restaurant (Grande)
object_DiningTableSmall	Table de restaurant (Petite)
object_DinerBooth	Box de restaurant
object_DiningChair	Chaise de restaurant
object_SaloonDoor	Portes de Saloon (Double)
object_OrnateLantern	Lanterne ornementale
object_Chandelier	Chandelier
object_WallPanel	Panneau mural (Rouge)
object_WallPanelWood	Panneau mural (Bois)
object_WallPanelStone	Panneau mural (Pierre)
object_WallPanelCorner_A	Panneau mural d'angle Type A (Rouge)
object_WallPanelWoodCorner_A	Angle de panneau mural type A (Bois)
object_WallPanelStoneCorner_A	Angle de panneau mural type A (Pierre)
object_WallPanelCorner_B	Panneau mural d'angle Type B (Rouge)
object_WallPanelWoodCorner_B	Panneau mural d'angle Type B (Bois)
object_WallPanelStoneCorner_B	Panneau mural d'angle Type B (Pierre)
object_ShopCounter	Présentoir de magasin
object_NoEntrySign	Panneau (Entrée interdite)
object_GymSign	Panneau (Salle de gym)
object_PhoneSign	Panneau (Téléphone)
object_RestaurantSign	Panneau (Restaurant)
object_BakerySign	Panneau (Boulangerie)
object_VisitationSign	Panneau (Parloir)
object_BakeryRawProduct	Produit cru de la boulangerie
object_BakeryCookedProduct	Produit cuit de la boulangerie
object_Flour	Farine
buildtoolbar_popup_obj_DisplayCounter	Une unité de service, utilisée pour stocker les produits de boulangerie.
buildtoolbar_popup_obj_Oven	Une unité de cuisson spécialisée dans la cuisson de produits de boulangerie.
buildtoolbar_popup_obj_DoughMixer	Transforme la farine (et d'autres ingrédients secrets) en pâte pour fabriquer des produits de boulangerie.
buildtoolbar_popup_obj_CakeStand	Un étal de présentation pour exposer de délicieuses friandises.
buildtoolbar_popup_obj_GrassBridge	Un pont couvert d'herbe qui permet de traverser les routes en toute sécurité.
buildtoolbar_popup_obj_DiningTableLarge	Une table de bonne qualité qui donnera plus de classe à n'importe quel repas.
buildtoolbar_popup_obj_DiningTableSmall	Une table de bonne qualité qui donnera plus de classe à n'importe quel repas.
buildtoolbar_popup_obj_DinerBooth	Un box dans le style des diners américains classiques.
buildtoolbar_popup_obj_DiningChair	Une chaise de bonne qualité qui donnera plus de classe à n'importe quel repas.
buildtoolbar_popup_obj_SaloonDoor	Portes doubles en bois, comme dans un vieux saloon
buildtoolbar_popup_obj_OrnateLantern	Une lanterne murale de bonne qualité qui donnera plus de classe à n'importe quel endroit.
buildtoolbar_popup_obj_Chandelier	Un éclairage de plafond de bonne qualité qui donnera plus de classe à n'importe quel endroit.
buildtoolbar_popup_obj_NoEntrySign	Un panneau mural avec un symbole Entrée interdite.
buildtoolbar_popup_obj_GymSign	Un panneau mural avec un symbole Salle de gym.
buildtoolbar_popup_obj_PhoneSign	Un panneau mural avec un symbole Téléphone.
buildtoolbar_popup_obj_RestaurantSign	Un panneau mural avec un symbole Restaurant.
buildtoolbar_popup_obj_BakerySign	Un panneau mural avec un symbole Boulangerie.
buildtoolbar_popup_obj_VisitationSign	Un panneau mural avec un symbole Parloir.
buildtoolbar_popup_obj_WallPanel	Panneaux muraux individuels de petite taille utilisés pour créer des zones séparées sans avoir à vider les cases de la pièce.
buildtoolbar_popup_obj_WallPanelWood	Panneaux muraux individuels de petite taille utilisés pour créer des zones séparées sans avoir à vider les cases de la pièce.
buildtoolbar_popup_obj_WallPanelStone	Panneaux muraux individuels de petite taille utilisés pour créer des zones séparées sans avoir à vider les cases de la pièce.
buildtoolbar_popup_obj_WallPanelCorner_A	Pièces d'angle individuelles pour panneaux muraux, utilisées pour créer des zones séparées sans avoir à vider les cases de la pièce.
buildtoolbar_popup_obj_WallPanelWoodCorner_A	Pièces d'angle individuelles pour panneaux muraux, utilisées pour créer des zones séparées sans avoir à vider les cases de la pièce.
buildtoolbar_popup_obj_WallPanelStoneCorner_A	Pièces d'angle individuelles pour panneaux muraux, utilisées pour créer des zones séparées sans avoir à vider les cases de la pièce.
buildtoolbar_popup_obj_WallPanelCorner_B	Pièces d'angle individuelles pour panneaux muraux, utilisées pour créer des zones séparées sans avoir à vider les cases de la pièce.
buildtoolbar_popup_obj_WallPanelWoodCorner_B	Pièces d'angle individuelles pour panneaux muraux, utilisées pour créer des zones séparées sans avoir à vider les cases de la pièce.
buildtoolbar_popup_obj_WallPanelStoneCorner_B	Pièces d'angle individuelles pour panneaux muraux, utilisées pour créer des zones séparées sans avoir à vider les cases de la pièce.
buildtoolbar_popup_obj_ShopCounter	Un présentoir pour les transactions commerciales, qui ne nécessite pas de mur pour être installé.
room_Restaurant	Restaurant
room_Bakery	Boulangerie
room_TherapyRoom	Salle de réunion
d11_restaurant_work	Restaurant
d11_restaurant_work_desc	Affecte les prisonniers au travail dans l'un de nos restaurants pour cuisiner et servir des clients civils. Ils doivent toutefois avoir une expérience professionnelle en cuisine ou en service à la clientèle.
d11_bakery_work	Boulangerie
d11_bakery_work_desc	Affecte les prisonniers au travail dans l'une de nos boulangeries pour préparer des pâtisseries pour les clients civils. Ils doivent toutefois avoir une expérience professionnelle en cuisine ou en service à la clientèle.
buildtoolbar_popup_room_TherapyRoom	Un “espace sûr” pour organiser les séances de zoothérapie et les discussions avec d'anciens détenus.
buildtoolbar_popup_room_Restaurant	Les détenus ayant une expérience en cuisine ou en service à la clientèle peuvent préparer et servir de la nourriture aux clients civils.
buildtoolbar_popup_room_Bakery	Les détenus ayant une expérience en cuisine ou en service à la clientèle peuvent faire du pain et des gâteaux et les vendre aux clients civils.
quickbuild_Therapy	Salle de réunion
quickbuild_Restaurant	Restaurant
quickbuild_Bakery	Boulangerie
quickbuild_Reception	Réception
reformprogram_AnimalTherapy	Zoothérapie
reformprogram_AnimalTherapy_text	Les détenus ont souvent du mal à garder leur maîtrise de soi ou sont victimes de pensées négatives. Grâce à ces séances et aux liens qu'elles créent, nous espérons que les détenus apprendront à rester calmes et à désamorcer toute situation dans laquelle ils se trouvent avant qu'elle ne devienne violente.
reformProgram_ConflictResolution	Résolution des conflits
reformProgram_ReformedPrisonerConsultation	Consultation avec un détenu réhabilité
reformProgram_ReformedPrisonerConsultation_text	L'idée de ce programme est de changer l'état d'esprit des personnes actuellement incarcérées, en invitant un ancien détenu qui s'est réinséré à parler de ses expériences et de sa nouvelle vie.
reformProgram_juvenilecorrection	Programme Trois fautes
reformProgram_juvenilecorrection_text	Permettre des interactions entre des détenus et des “délinquants” civils devrait avoir un effet positif sur les uns et les autres, pour autant que les détenus aient été formés ou aient le niveau correct d'expérience en service à la clientèle pour interagir avec ces “délinquants”.
reformProgram_socialtraining	Formation Trois fautes
reformProgram_socialtraining_text	Laisser des détenus interagir avec des civils qui n'ont aucun lien avec eux peut générer de l'inquiétude et du stress. Ce programme leur enseigne donc les actions qui sont acceptables et celles qui ne le sont pas, tout en augmentant l'expérience des détenus en matière de service à la clientèle.
reformProgram_RehabilitatedPrisoner_text	Cet ancien prisonnier est devenu un citoyen modèle et, parallèlement à sa profession actuelle, il a décidé d'utiliser son temps libre pour aider d'autres personnes qui luttent pour se réhabiliter, en tant que consultant en milieu carcéral.
reformProgram_Occupation	Environnement de travail :
report_Sentences	Aménagement de peine
sentences_tooltip_onOff	Activez cette option pour activer ou désactiver les aménagements de peine.
sentences_tooltip_resetCriteria	Rétablit les critères d'ajustement aux valeurs proposées par la prison.
sentences_tooltip_extensionValue	Sélectionnez la durée de la prolongation de la peine d'un détenu, une fois qu'il répond aux critères requis.
sentences_tooltip_reductionValue	Sélectionnez la durée de la réduction de la peine d'un détenu, une fois qu'il répond aux critères requis.
sentences_description	Définit les critères d'ajustement de la peine d'un détenu, qu'il s'agisse d'une réduction pour bonne conduite ou d'une prolongation pour mauvaise conduite.\nLes extensions et les remises de peine peuvent avoir lieu au cours de la même semaine, mais les deux types d'ajustement ont un temps de recharge de 7 jours.
sentences_unavailable	N/A
reduction_caption	Valeur de la réduction
extension_caption	Valeur de l'allongement de la peine
adjustment_criteria	Critères de réglage
goodBehaviour_DaysInLabour	Jours au travail
goodBehaviour_LoweredRate	Taux de récidive abaissé
sentences_resetCriteria	Réinitialiser le critère
misconduct_tooltip_InjuredStaff	Les détenus pourront subir une prolongation de peine s'ils ont agressé des membres du personnel le nombre de fois spécifié.
misconduct_tooltip_InjuredPrisoner	Les détenus pourront subir une prolongation de peine s'ils ont agressé d'autres détenus le nombre de fois spécifié.
misconduct_tooltip_SeriousInjury	Les détenus pourront subir une prolongation de peine s'ils ont causé des blessures graves le nombre de fois spécifié.
misconduct_tooltip_Murder	Les détenus pourront subir une prolongation de peine s'ils ont commis un meurtre en prison le nombre de fois spécifié.
misconduct_tooltip_EscapeAttempt	Les détenus pourront subir une prolongation de peine s'ils ont tenté de s'évader de prison le nombre de fois spécifié.
goodBehaviour_tooltip_NoIncident	Les détenus pourront bénéficier de réductions de peine s'ils n'ont pas été signalés pour un incident pendant le nombre de jours spécifié.
goodBehaviour_tooltip_ProgramsPassed	Les détenus pourront bénéficier de réductions de peine s'ils ont réussi un certain nombre de programmes.
goodBehaviour_tooltip_DaysInLabour	Les détenus pourront bénéficier de réductions de peine s'ils ont effectué du travail pénitentiaire pendant le nombre spécifié de jours consécutifs.
goodBehaviour_tooltip_LoweredRate	Les détenus pourront bénéficier de réductions de peine si leur taux de récidive a été diminué de la quantité spécifiée.
sentences_tooltip_criteriaMet	Ajustez cette valeur pour décider du nombre de critères qu'un prisonnier doit remplir pour que sa peine soit aménagée.
work_and_education	Travail et Formation
d11_work_experience	Expérience professionnelle
experience_WorkCook	Expérience en cuisine
experience_WorkCleaner	Expérience en nettoyage
experience_WorkCraftsman	Expérience en artisanat
experience_WorkLabourer	Expérience en travail manuel
experience_WorkRCS	Expérience Service à la clientèle
experience_WorkReform	Terminer ce programme augmentera l'expérience professionnelle du détenu de 50 % dans le domaine *X.
experience_WorkCook_desc	Les détenus qui ont 50 % d'expérience dans ce domaine peuvent travailler directement dans des cuisines, des restaurants ou des boulangeries. Une expérience plus élevée augmente également leur efficacité dans les emplois associés.
experience_WorkCleaner_desc	Les détenus qui acquièrent une expérience dans ce domaine augmenteront leur efficacité dans les emplois liés au nettoyage.
experience_WorkCraftsman_desc	Les détenus qui ont 50 % d'expérience dans ce domaine peuvent travailler directement dans des ateliers. Une expérience plus élevée augmente également leur efficacité.
